Store,StoreType,Year,PlanSales,ActualSales,TradingDays,VarianceAbs,VariancePct
20,d,2014,1063172.61,1114306,144,51133.39,4.81
20,d,2015,1174604.79,1206907,147,32302.21,2.75
21,c,2014,1623815.31,1683779,301,59963.69,3.69
21,c,2015,994093.67,997687,174,3593.33,0.36
22,a,2014,651457.45,647711,146,-3746.45,-0.58
22,a,2015,667326.84,682859,146,15532.16,2.33
23,d,2014,1706343.36,1671843,302,-34500.36,-2.02
23,d,2015,990106.42,975670,175,-14436.42,-1.46
24,a,2014,2836544.7,2821886,302,-14658.7,-0.52
24,a,2015,1624076.19,1743543,175,119466.81,7.36
25,c,2014,3283575.8,3004443,275,-279132.8,-8.5
25,c,2015,2005370.03,1906127,174,-99243.03,-4.95
26,d,2014,2013249.16,2051696,303,38446.84,1.91
26,d,2015,1184492.52,1214820,176,30327.48,2.56
27,a,2014,2877290.26,2891329,302,14038.74,0.49
27,a,2015,1699054.84,1705167,175,6112.16,0.36
28,a,2014,1654227.29,1589047,290,-65180.29,-3.94
28,a,2015,975319.44,821129,175,-154190.44,-15.81
29,d,2014,2018929.83,2312670,302,293740.17,14.55
29,d,2015,1324728.72,1467958,175,143229.28,10.81
30,a,2014,1863979.01,1532860,301,-331119.01,-17.76
30,a,2015,928937.78,768198,174,-160739.78,-17.3
31,d,2014,1822455.93,1806223,304,-16232.93,-0.89
31,d,2015,1024549.08,1022904,176,-1645.08,-0.16
32,a,2014,589836.59,602798,147,12961.41,2.2
32,a,2015,621692.41,602600,147,-19092.41,-3.07
33,a,2014,2670102.4,2512321,302,-157781.4,-5.91
33,a,2015,1482840.36,1472219,175,-10621.36,-0.72
34,c,2014,2473677.78,2457043,304,-16634.78,-0.67
34,c,2015,1447021.09,1439881,176,-7140.09,-0.49
35,d,2014,2787870.61,2946316,302,158445.39,5.68
35,d,2015,1723366.01,1909599,175,186232.99,10.81
36,a,2014,1403210.05,1333512,147,-69698.05,-4.97
36,a,2015,1373269.9,1413168,147,39898.1,2.91
37,c,2014,2309196.53,2113528,302,-195668.53,-8.47
37,c,2015,1228133.86,1190120,175,-38013.86,-3.1
38,d,2014,1832493.27,1811162,302,-21331.27,-1.16
38,d,2015,1068963.16,1090699,175,21735.84,2.03
39,a,2014,1399191.23,1487609,302,88417.77,6.32
39,a,2015,888811.05,936781,175,47969.95,5.4
40,a,2014,1574547.89,1527073,301,-47474.89,-3.02
40,a,2015,893147.49,750269,174,-142878.49,-16.0
41,d,2014,647346.57,824323,147,176976.43,27.34
41,d,2015,849713.29,900735,147,51021.71,6.0
42,a,2014,3037779.46,3132357,302,94577.54,3.11
42,a,2015,1821430.19,1852177,175,30746.81,1.69
43,d,2014,2179060.13,2075985,302,-103075.13,-4.73
43,d,2015,1254142.26,1127806,175,-126336.26,-10.07
44,a,2014,1674710.62,1725138,304,50427.38,3.01
44,a,2015,1001969.92,946455,176,-55514.92,-5.54
45,d,2014,1695469.87,1583098,302,-112371.87,-6.63
45,d,2015,922831.61,940134,175,17302.39,1.87
46,c,2014,772676.29,798454,147,25777.71,3.34
46,c,2015,823048.7,816535,147,-6513.7,-0.79
47,a,2014,2139760.84,2202782,304,63021.16,2.95
47,a,2015,1240030.17,1324328,176,84297.83,6.8
48,a,2014,1321782.54,1162829,304,-158953.54,-12.03
48,a,2015,692976.55,639705,176,-53271.55,-7.69
49,d,2014,2143613.38,2250642,301,107028.62,4.99
49,d,2015,1297047.68,1342058,174,45010.32,3.47
50,d,2014,1302694.63,1274687,302,-28007.63,-2.15
50,d,2015,744741.49,778283,175,33541.51,4.5
51,a,2014,946488.67,988036,147,41547.33,4.39
51,a,2015,1018455.03,1040207,147,21751.97,2.14
52,d,2014,1137114.46,1077876,147,-59238.46,-5.21
52,d,2015,1111496.44,972072,147,-139424.44,-12.54
53,a,2014,1637374.94,1602104,304,-35270.94,-2.15
53,a,2015,906307.65,937947,176,31639.35,3.49
54,d,2014,2465107.5,2408802,304,-56305.5,-2.28
54,d,2015,1395820.44,1402859,176,7038.56,0.5
55,a,2014,1262218.45,1461618,302,199399.55,15.8
55,a,2015,844780.8,902858,176,58077.2,6.87
56,d,2014,2066037.43,2272039,303,206001.57,9.97
56,d,2015,1283785.55,1444415,175,160629.45,12.51
57,d,2014,3444338.07,3091410,291,-352928.07,-10.25
57,d,2015,2134860.14,1604707,176,-530153.14,-24.83
58,a,2014,839049.05,948462,147,109412.95,13.04
58,a,2015,978343.41,1064594,147,86250.59,8.82
59,a,2014,1704748.43,1672219,303,-32529.43,-1.91
59,a,2015,989907.02,977664,176,-12243.02,-1.24
60,d,2014,2293915.14,2484440,302,190524.86,8.31
60,d,2015,1434619.86,1557937,176,123317.14,8.6
61,a,2014,1308073.74,1502461,301,194387.26,14.86
61,a,2015,873907.38,895181,174,21273.62,2.43
62,a,2014,1986516.97,1966500,302,-20016.97,-1.01
62,a,2015,1166100.72,1174852,175,8751.28,0.75
63,c,2014,2051131.18,2162016,304,110884.82,5.41
63,c,2015,1226743.01,1302246,176,75502.99,6.15
64,d,2014,2941962.72,3244285,302,302322.28,10.28
64,d,2015,1881949.74,1974145,175,92195.26,4.9
65,a,2014,1569140.76,1546857,302,-22283.76,-1.42
65,a,2015,899607.44,916442,175,16834.56,1.87
66,d,2014,1869709.98,1841515,301,-28194.98,-1.51
66,d,2015,1081959.42,1091300,174,9340.58,0.86
67,a,2014,2342221.86,2377267,301,35045.14,1.5
67,a,2015,1411412.65,1428287,174,16874.35,1.2
68,a,2014,2289414.6,2344598,304,55183.4,2.41
68,a,2015,1309490.22,1364944,176,55453.78,4.23
69,c,2014,3044052.75,2825731,303,-218321.75,-7.17
69,c,2015,1657856.24,1586569,175,-71287.24,-4.3
70,c,2014,2039515.32,2018491,304,-21024.32,-1.03
70,c,2015,1166429.8,1170949,174,4519.2,0.39
71,a,2014,2782364.99,2769249,302,-13115.99,-0.47
71,a,2015,1631195.34,1593454,175,-37741.34,-2.31
72,a,2014,644594.96,668317,147,23722.04,3.68
72,a,2015,689606.6,662628,147,-26978.6,-3.91
73,a,2014,1393303.97,1400735,304,7431.03,0.53
73,a,2015,801192.39,836266,176,35073.61,4.38
74,a,2014,1941770.89,1902930,301,-38840.89,-2.0
74,a,2015,1093850.41,1070503,174,-23347.41,-2.13
75,d,2014,1843969.91,1854038,304,10068.09,0.55
75,d,2015,1054990.1,1079362,176,24371.9,2.31
76,d,2014,1280283.17,1323551,147,43267.83,3.38
76,d,2015,1363814.81,1365472,147,1657.19,0.12
77,d,2014,2259590.14,2359354,303,99763.86,4.42
77,d,2015,1363697.74,1403255,175,39557.26,2.9
78,a,2014,1124448.5,1135327,302,10878.5,0.97
78,a,2015,664069.05,671541,175,7471.95,1.13
79,a,2014,1650919.24,1653980,301,3060.76,0.19
79,a,2015,970738.63,994114,174,23375.37,2.41
80,d,2014,2310973.98,2296144,302,-14829.98,-0.64
80,d,2015,1353458.43,1396778,175,43319.57,3.2
81,a,2014,985120.53,1017865,147,32744.47,3.32
81,a,2015,1048929.47,1102839,147,53909.53,5.14
82,a,2014,2738307.57,2762375,302,24067.43,0.88
82,a,2015,1635119.7,1611636,175,-23483.7,-1.44
83,a,2014,1202279.79,1174035,302,-28244.79,-2.35
83,a,2015,680472.29,689614,175,9141.71,1.34
84,a,2014,3941427.23,3933849,302,-7578.23,-0.19
84,a,2015,2299977.11,2339267,175,39289.89,1.71
85,b,2014,2695661.41,2651421,365,-44240.41,-1.64
85,b,2015,1564211.56,1582084,212,17872.44,1.14
86,a,2014,1434394.11,1438285,302,3890.89,0.27
86,a,2015,851204.01,824196,174,-27008.01,-3.17
87,a,2014,1830698.84,1798996,304,-31702.84,-1.73
87,a,2015,1074571.95,1023414,176,-51157.95,-4.76
88,a,2014,1868170.85,1819855,302,-48315.85,-2.59
88,a,2015,1069318.63,1062503,175,-6815.63,-0.64
89,a,2014,873638.84,863308,147,-10330.84,-1.18
89,a,2015,889706.24,902004,147,12297.76,1.38
90,a,2014,2543855.47,2583428,302,39572.53,1.56
90,a,2015,1522703.56,1507924,175,-14779.56,-0.97
91,c,2014,1674495.32,1887591,302,213095.68,12.73
91,c,2015,1220173.08,815681,174,-404492.08,-33.15
92,c,2014,1731458.78,1849434,302,117975.22,6.81
92,c,2015,1065185.24,1144146,175,78960.76,7.41
93,a,2014,1876796.65,1790144,302,-86652.65,-4.62
93,a,2015,1064848.25,1038190,175,-26658.25,-2.5
94,d,2014,2158673.42,2157510,302,-1163.42,-0.05
94,d,2015,1260083.01,1298044,175,37960.99,3.01
95,a,2014,2471376.24,2342488,302,-128888.24,-5.22
95,a,2015,1411008.2,1219415,176,-191593.2,-13.58
96,a,2014,1566007.19,1579334,302,13326.81,0.85
96,a,2015,917575.81,941319,176,23743.19,2.59
97,d,2014,2027359.27,2040193,302,12833.73,0.63
97,d,2015,1186889.21,1223307,176,36417.79,3.07
98,d,2014,1466738.85,1583510,302,116771.15,7.96
98,d,2015,905230.01,975968,175,70737.99,7.81
99,c,2014,660808.5,763798,147,102989.5,15.59
99,c,2015,786812.22,854500,147,67687.78,8.6
100,d,2014,1131521.2,1166698,147,35176.8,3.11
100,d,2015,1202027.49,1207153,147,5125.51,0.43
101,d,2014,2234509.85,2316756,304,82246.15,3.68
101,d,2015,1337745.1,1372025,176,34279.9,2.56
102,a,2014,2046998.16,2125361,291,78362.84,3.83
102,a,2015,1319597.9,1255224,175,-64373.9,-4.88
103,d,2014,729836.75,751302,155,21465.25,2.94
103,d,2015,818011.13,857625,176,39613.87,4.84
104,a,2014,3090247.36,3109378,304,19130.64,0.62
104,a,2015,1845416.51,1831701,176,-13715.51,-0.74
105,a,2014,1488799.52,1424928,301,-63871.52,-4.29
105,a,2015,832735.33,891775,174,59039.67,7.09
106,a,2014,2796703.12,2568615,304,-228088.12,-8.16
106,a,2015,1493099.41,1544316,176,51216.59,3.43
107,a,2014,2199683.3,2254862,304,55178.7,2.51
107,a,2015,1329230.62,1362687,176,33456.38,2.52
108,d,2014,1447056.43,1636383,147,189326.57,13.08
108,d,2015,1686144.88,1835950,147,149805.12,8.88
109,a,2014,1983439.09,1980132,304,-3307.09,-0.17
109,a,2015,1138225.57,1164160,176,25934.43,2.28
110,a,2014,1459946.24,1381906,304,-78040.24,-5.35
110,a,2015,787732.6,756761,176,-30971.6,-3.93
111,d,2014,2085163.38,2066787,303,-18376.38,-0.88
111,d,2015,1223621.27,1201380,175,-22241.27,-1.82
112,a,2014,1909745.87,1914228,304,4482.13,0.23
112,a,2015,1132796.95,1117260,176,-15536.95,-1.37
113,d,2014,1130678.41,1102626,147,-28052.41,-2.48
113,d,2015,1136100.88,878720,147,-257380.88,-22.65
114,c,2014,1662499.76,1637506,304,-24993.76,-1.5
114,c,2015,961259.9,942674,176,-18585.9,-1.93
115,d,2014,985366.93,1089735,147,104368.07,10.59
115,d,2015,1124284.36,1195415,147,71130.64,6.33
116,a,2014,2332961.49,2162369,304,-170592.49,-7.31
116,a,2015,1271157.79,1293318,176,22160.21,1.74
117,a,2014,1205588.48,1180254,302,-25334.48,-2.1
117,a,2015,692508.96,675708,175,-16800.96,-2.43
118,d,2014,2249298.59,2432748,304,183449.41,8.16
118,d,2015,1404452.62,1477831,175,73378.38,5.22
119,a,2014,1847748.51,1845696,304,-2052.51,-0.11
119,a,2015,1073962.78,1069501,176,-4461.78,-0.42
120,d,2014,2201443.73,2155231,303,-46212.73,-2.1
120,d,2015,1280378.35,1264077,175,-16301.35,-1.27
121,a,2014,1396344.65,1356384,302,-39960.65,-2.86
121,a,2015,787708.92,763581,176,-24127.92,-3.06
122,a,2014,2214398.56,2260571,342,46172.44,2.09
122,a,2015,1303004.37,1298749,199,-4255.37,-0.33
123,a,2014,2513860.78,2493863,290,-19997.78,-0.8
123,a,2015,1472440.37,1418520,175,-53920.37,-3.66
124,a,2014,1317296.01,1347654,302,30357.99,2.3
124,a,2015,793857.27,822530,175,28672.73,3.61
125,a,2014,3710070.95,3555848,304,-154222.95,-4.16
125,a,2015,2101808.67,2125444,176,23635.33,1.12
126,d,2014,2385644.03,1792886,302,-592758.03,-24.85
126,d,2015,1095780.21,968577,175,-127203.21,-11.61
127,d,2014,773528.38,777747,147,4218.62,0.55
127,d,2015,801595.99,800606,147,-989.99,-0.12
128,d,2014,2022656.5,2386423,303,363766.5,17.98
128,d,2015,1370354.85,1476080,175,105725.15,7.72
129,a,2014,1374421.89,1366576,147,-7845.89,-0.57
129,a,2015,1408468.7,1327909,147,-80559.7,-5.72
130,c,2014,1552570.27,1571477,303,18906.73,1.22
130,c,2015,937177.01,923003,175,-14174.01,-1.51
131,c,2014,1782875.62,1492488,302,-290387.62,-16.29
131,c,2015,905774.27,888681,175,-17093.27,-1.89
132,d,2014,777727.0,957458,147,179731.0,23.11
132,d,2015,986610.23,1084043,147,97432.77,9.88
133,a,2014,2152780.52,1893046,303,-259734.52,-12.07
133,a,2015,1089403.68,1076911,176,-12492.68,-1.15
134,a,2014,1491547.73,1438114,304,-53433.73,-3.58
134,a,2015,865193.38,820261,176,-44932.38,-5.19
135,d,2014,1786192.99,1820769,303,34576.01,1.94
135,d,2015,1068704.08,1096980,175,28275.92,2.65
136,a,2014,647426.07,927472,147,280045.93,43.26
136,a,2015,955840.08,823686,147,-132154.08,-13.83
137,a,2014,1178788.89,1205233,147,26444.11,2.24
137,a,2015,1242006.12,1291374,147,49367.88,3.97
138,a,2014,2183247.69,2265177,302,81929.31,3.75
138,a,2015,1298506.83,1339743,176,41236.17,3.18
139,a,2014,942845.1,945082,147,2236.9,0.24
139,a,2015,974007.68,983699,147,9691.32,0.99
140,a,2014,2284470.68,2276674,303,-7796.68,-0.34
140,a,2015,1325303.95,1342998,175,17694.05,1.34
141,c,2014,1726664.63,1646136,301,-80528.63,-4.66
141,c,2015,960821.05,980944,174,20122.95,2.09
142,a,2014,1427748.28,1393752,302,-33996.28,-2.38
142,a,2015,828952.12,809160,175,-19792.12,-2.39
143,d,2014,1862719.38,1981367,302,118647.62,6.37
143,d,2015,1137515.41,1132186,175,-5329.41,-0.47
144,a,2014,1137922.41,1117705,148,-20217.41,-1.78
144,a,2015,1151237.62,1090599,148,-60638.62,-5.27
145,a,2014,1191020.99,1067778,134,-123242.99,-10.35
145,a,2015,1219093.49,1136907,147,-82186.49,-6.74
146,d,2014,2267430.2,2419082,302,151651.8,6.69
146,d,2015,1392211.28,1469838,175,77626.72,5.58
147,d,2014,2498791.0,2512854,302,14063.0,0.56
147,d,2015,1471273.58,1463724,175,-7549.58,-0.51
148,a,2014,2653803.31,2619552,304,-34251.31,-1.29
148,a,2015,1546219.75,1579072,176,32852.25,2.12
149,d,2014,807648.51,829531,147,21882.49,2.71
149,d,2015,855482.79,815266,147,-40216.79,-4.7
150,c,2014,2504055.87,2628558,304,124502.13,4.97
150,c,2015,1482604.48,1541655,176,59050.52,3.98
151,d,2014,2007176.91,2051214,302,44037.09,2.19
151,d,2015,1192425.33,1266601,175,74175.67,6.22
152,a,2014,1690659.9,1684487,302,-6172.9,-0.37
152,a,2015,1006969.57,994089,175,-12880.57,-1.28
153,a,2014,2237747.49,2211458,302,-26289.49,-1.17
153,a,2015,1307347.78,1125707,175,-181640.78,-13.89
154,d,2014,2578340.03,2720573,303,142232.97,5.52
154,d,2015,1569850.81,1605531,175,35680.19,2.27
155,d,2014,997188.3,1031493,147,34304.7,3.44
155,d,2015,1062615.53,1071756,147,9140.47,0.86
156,a,2014,2207863.13,2100480,303,-107383.13,-4.86
156,a,2015,1221410.76,1203941,176,-17469.76,-1.43
157,a,2014,2975546.88,2947842,302,-27704.88,-0.93
157,a,2015,1734088.07,1742904,175,8815.93,0.51
158,d,2014,2426466.46,2530166,302,103699.54,4.27
158,d,2015,1502452.28,1470993,175,-31459.28,-2.09
159,d,2014,1166412.03,1136982,147,-29430.03,-2.52
159,d,2015,1171865.88,1136090,147,-35775.88,-3.05
160,d,2014,1780719.87,1754054,303,-26665.87,-1.5
160,d,2015,1022678.45,996031,175,-26647.45,-2.61
161,a,2014,2194407.32,2204852,302,10444.68,0.48
161,a,2015,1289145.23,1317526,175,28380.77,2.2
162,d,2014,2360004.45,2409300,303,49295.55,2.09
162,d,2015,1399172.71,1370985,175,-28187.71,-2.01
163,a,2014,2485877.26,2111944,304,-373933.26,-15.04
163,a,2015,1284110.93,1200685,176,-83425.93,-6.5
164,a,2014,918547.93,910588,147,-7959.93,-0.87
164,a,2015,939460.41,979025,147,39564.59,4.21
165,a,2014,603824.3,590439,147,-13385.3,-2.22
165,a,2015,608688.58,574779,147,-33909.58,-5.57
166,a,2014,1868312.49,1765988,302,-102324.49,-5.48
166,a,2015,1039822.14,957994,175,-81828.14,-7.87
167,a,2014,2777581.75,2880929,302,103347.25,3.72
167,a,2015,1641915.63,1670376,175,28460.37,1.73
168,a,2014,2266817.77,2295618,301,28800.23,1.27
168,a,2015,1345727.88,1342266,174,-3461.88,-0.26
169,d,2014,2321638.45,2127045,289,-194593.45,-8.38
169,d,2015,1459877.17,1056961,175,-402916.17,-27.6
170,a,2014,1630347.34,1510077,302,-120270.34,-7.38
170,a,2015,888511.06,811706,175,-76805.06,-8.64
171,a,2014,2573218.54,2588260,302,15041.46,0.58
171,a,2015,1517845.32,1484370,175,-33475.32,-2.21
172,a,2014,1139493.01,976487,147,-163006.01,-14.31
172,a,2015,1006030.36,1057517,147,51486.64,5.12
173,a,2014,2625662.2,2482403,304,-143259.2,-5.46
173,a,2015,1497555.72,1425487,176,-72068.72,-4.81
174,a,2014,833382.96,873902,147,40519.04,4.86
174,a,2015,900307.4,918238,147,17930.6,1.99
175,c,2014,1739090.49,1780588,304,41497.51,2.39
175,c,2015,1049514.07,1067992,176,18477.93,1.76
176,a,2014,1643540.88,1596990,302,-46550.88,-2.83
176,a,2015,943656.48,921786,175,-21870.48,-2.32
177,a,2014,1227642.16,1227057,302,-585.16,-0.05
177,a,2015,737993.33,694078,175,-43915.33,-5.95
178,d,2014,2988337.98,3146899,302,158561.02,5.31
178,d,2015,1830614.21,1826045,176,-4569.21,-0.25
179,a,2014,2161528.35,2265786,302,104257.65,4.82
179,a,2015,1315129.09,1323040,175,7910.91,0.6
180,d,2014,2236381.72,2192564,304,-43817.72,-1.96
180,d,2015,1315669.69,1298882,176,-16787.69,-1.28
181,a,2014,934402.17,964939,147,30536.83,3.27
181,a,2015,995389.41,924233,147,-71156.41,-7.15
182,d,2014,1510523.63,1678770,303,168246.37,11.14
182,d,2015,964036.33,1001062,175,37025.67,3.84
183,a,2014,661618.94,696666,147,35047.06,5.3
183,a,2015,658773.68,718676,136,59902.32,9.09
184,d,2014,2044962.31,1977004,301,-67958.31,-3.32
184,d,2015,1179461.62,1164419,175,-15042.62,-1.28
185,d,2014,2161231.36,2218419,304,57187.64,2.65
185,d,2015,1280450.26,1307862,176,27411.74,2.14
186,a,2014,555324.43,531856,147,-23468.43,-4.23
186,a,2015,548055.46,593288,147,45232.54,8.25
187,a,2014,1956285.68,1926356,304,-29929.68,-1.53
187,a,2015,1107223.55,1100071,176,-7152.55,-0.65
188,d,2014,1454186.97,1529710,302,75523.03,5.19
188,d,2015,884233.74,945759,175,61525.26,6.96
189,d,2014,2765064.79,2650125,302,-114939.79,-4.16
189,d,2015,1593013.81,1495991,175,-97022.81,-6.09
190,a,2014,1022741.09,1039520,147,16778.91,1.64
190,a,2015,1071340.4,1146811,147,75470.6,7.04
191,a,2014,1120730.63,941960,147,-178770.63,-15.95
191,a,2015,970850.94,998388,147,27537.06,2.84
192,d,2014,946301.43,1237358,147,291056.57,30.76
192,d,2015,1277125.13,1905640,147,628514.87,49.21
193,a,2014,1685001.18,1609016,301,-75985.18,-4.51
193,a,2015,950540.86,919951,174,-30589.86,-3.22
194,d,2014,1432362.52,1486876,301,54513.48,3.81
194,d,2015,855168.73,873300,174,18131.27,2.12
195,a,2014,3262998.8,3259013,302,-3985.8,-0.12
195,a,2015,1932065.49,1924353,175,-7712.49,-0.4
196,c,2014,1596486.56,1590107,303,-6379.56,-0.4
196,c,2015,940776.55,941368,176,591.45,0.06
197,c,2014,2180888.46,2035286,304,-145602.46,-6.68
197,c,2015,1168874.64,1218110,176,49235.36,4.21
198,a,2014,919022.52,883708,303,-35314.52,-3.84
198,a,2015,511021.78,494477,176,-16544.78,-3.24
199,d,2014,2291964.18,2481684,302,189719.82,8.28
199,d,2015,1439296.55,1494334,175,55037.45,3.82
200,a,2014,2370520.12,2342234,302,-28286.12,-1.19
200,a,2015,1401195.95,1381157,175,-20038.95,-1.43
201,d,2014,1575937.49,1623005,302,47067.51,2.99
201,d,2015,941926.53,939488,175,-2438.53,-0.26
202,d,2014,1751043.31,1889512,303,138468.69,7.91
202,d,2015,1097480.91,1149749,175,52268.09,4.76
203,c,2014,2004434.7,2116495,303,112060.3,5.59
203,c,2015,1194358.24,1233993,175,39634.76,3.32
204,a,2014,797127.66,796867,147,-260.66,-0.03
204,a,2015,821145.19,835781,147,14635.81,1.78
205,a,2014,2055491.07,1982202,304,-73289.07,-3.57
205,a,2015,1186732.84,1148907,176,-37825.84,-3.19
206,a,2014,2020894.79,2224441,302,203546.21,10.07
206,a,2015,1279959.88,1392735,175,112775.12,8.81
207,a,2014,3497770.59,3410821,304,-86949.59,-2.49
207,a,2015,2001549.28,1965504,176,-36045.28,-1.8
208,c,2014,915808.82,883633,304,-32175.82,-3.51
208,c,2015,518674.0,530518,176,11844.0,2.28
209,a,2014,1943416.04,1943337,342,-79.04,-0.0
209,a,2015,1116449.96,1104607,199,-11842.96,-1.06
210,d,2014,958085.08,993129,302,35043.92,3.66
210,d,2015,574186.21,566354,175,-7832.21,-1.36
211,a,2014,4026844.6,3891122,304,-135722.6,-3.37
211,a,2015,2299203.16,2391291,176,92087.84,4.01
212,a,2014,1520776.12,1465059,304,-55717.12,-3.66
212,a,2015,855238.71,804486,176,-50752.71,-5.93
213,d,2014,2301038.65,2601935,302,300896.35,13.08
213,d,2015,1544489.41,1501891,175,-42598.41,-2.76
214,d,2014,2867585.61,2825015,302,-42570.61,-1.48
214,d,2015,1665405.41,1665615,175,209.59,0.01
215,d,2014,912796.61,928500,147,15703.39,1.72
215,d,2015,956815.54,954037,147,-2778.54,-0.29
216,c,2014,2194146.38,2248159,301,54012.62,2.46
216,c,2015,1329544.62,1232289,174,-97255.62,-7.31
217,c,2014,1429303.39,1428265,304,-1038.39,-0.07
217,c,2015,841769.96,871297,176,29527.04,3.51
218,a,2014,767144.0,728907,147,-38237.0,-4.98
218,a,2015,750839.31,734329,147,-16510.31,-2.2
219,a,2014,954317.43,961735,302,7417.57,0.78
219,a,2015,563467.67,554552,175,-8915.67,-1.58
220,a,2014,1545188.4,1458399,301,-86789.4,-5.62
220,a,2015,868563.4,850590,174,-17973.4,-2.07
221,d,2014,1727390.0,1803835,304,76445.0,4.43
221,d,2015,1016555.03,1084869,176,68313.97,6.72
222,a,2014,1537230.49,1516989,304,-20241.49,-1.32
222,a,2015,907685.11,898179,176,-9506.11,-1.05
223,d,2014,2224393.34,2208392,303,-16001.34,-0.72
223,d,2015,1327480.53,1292091,176,-35389.53,-2.67
224,d,2014,1816671.2,2086580,301,269908.8,14.86
224,d,2015,1206339.5,1299381,174,93041.5,7.71
225,d,2014,1590314.26,1589847,303,-467.26,-0.03
225,d,2015,926971.75,933667,176,6695.25,0.72
226,a,2014,2372431.17,2147468,303,-224963.17,-9.48
226,a,2015,1286286.27,1220771,175,-65515.27,-5.09
227,a,2014,1668522.79,1826157,290,157634.21,9.45
227,a,2015,1065290.78,1118987,175,53696.22,5.04
228,d,2014,2364823.24,2421675,302,56851.76,2.4
228,d,2015,1404134.2,1475346,175,71211.8,5.07
229,d,2014,2590456.77,2644753,302,54296.23,2.1
229,d,2015,1536226.61,1579715,175,43488.39,2.83
230,d,2014,2250594.38,2342379,304,91784.62,4.08
230,d,2015,1352708.71,1403145,176,50436.29,3.73
231,d,2014,666431.94,698095,147,31663.06,4.75
231,d,2015,718872.51,752141,147,33268.49,4.63
232,c,2014,966582.64,1043592,302,77009.36,7.97
232,c,2015,603693.1,649657,175,45963.9,7.61
233,a,2014,2886469.33,2850734,303,-35735.33,-1.24
233,a,2015,1694805.24,1716551,175,21745.76,1.28
234,d,2014,3399230.35,3382192,302,-17038.35,-0.5
234,d,2015,1995360.11,1950179,175,-45181.11,-2.26
235,a,2014,1900176.76,1826236,303,-73940.76,-3.89
235,a,2015,1065638.44,967857,175,-97781.44,-9.18
236,a,2014,2169882.63,2145858,304,-24024.63,-1.11
236,a,2015,1254059.5,1331754,176,77694.5,6.2
237,a,2014,1406728.52,1347899,304,-58829.52,-4.18
237,a,2015,787471.99,843536,176,56064.01,7.12
238,a,2014,2276563.27,2275336,290,-1227.27,-0.05
238,a,2015,1403300.02,1301039,174,-102261.02,-7.29
239,d,2014,1473926.52,1568676,302,94749.48,6.43
239,d,2015,909920.16,954304,175,44383.84,4.88
240,a,2014,1487440.88,1442248,304,-45192.88,-3.04
240,a,2015,845682.5,887719,176,42036.5,4.97
241,d,2014,1958653.98,2035823,302,77169.02,3.94
241,d,2015,1176674.15,1194677,175,18002.85,1.53
242,d,2014,1300569.28,1225796,303,-74773.28,-5.75
242,d,2015,717232.02,711496,175,-5736.02,-0.8
243,a,2014,1048879.7,1030578,147,-18301.7,-1.74
243,a,2015,1061554.24,1024614,147,-36940.24,-3.48
244,d,2014,1594414.05,1590155,302,-4259.05,-0.27
244,d,2015,910581.08,970972,175,60390.92,6.63
245,a,2014,2629714.26,2779881,303,150166.74,5.71
