Store,StoreType,Revenue,VariableCost,FixedCost,ContributionMargin,OperatingProfit,TradingDays,TotalCost,CMRatioPct,OperatingMarginPct
43,d,3203791,2595070.71,429300.0,608720.29,179420.29,477,3024370.71,19.0,5.6
44,a,2671593,2137274.4,432000.0,534318.6,102318.6,480,2569274.4,20.0,3.83
45,d,2523232,2043817.92,429300.0,479414.08,50114.08,477,2473117.92,19.0,1.99
46,c,1614989,1275841.31,264600.0,339147.69,74547.69,294,1540441.31,21.0,4.62
47,a,3527110,2821688.0,432000.0,705422.0,273422.0,480,3253688.0,20.0,7.75
48,a,1802534,1442027.2,432000.0,360506.8,-71493.2,480,1874027.2,20.0,-3.97
49,d,3592700,2910087.0,427500.0,682613.0,255113.0,475,3337587.0,19.0,7.1
50,d,2052970,1662905.7,429300.0,390064.3,-39235.7,477,2092205.7,19.0,-1.91
51,a,2028243,1622594.4,264600.0,405648.6,141048.6,294,1887194.4,20.0,6.95
52,d,2049948,1660457.88,264600.0,389490.12,124890.12,294,1925057.88,19.0,6.09
53,a,2540051,2032040.8,432000.0,508010.2,76010.2,480,2464040.8,20.0,2.99
54,d,3811661,3087445.41,432000.0,724215.59,292215.59,480,3519445.41,19.0,7.67
55,a,2364476,1891580.8,430200.0,472895.2,42695.2,478,2321780.8,20.0,1.81
56,d,3716454,3010327.74,430200.0,706126.26,275926.26,478,3440527.74,19.0,7.42
57,d,4696117,3803854.77,420300.0,892262.23,471962.23,467,4224154.77,19.0,10.05
58,a,2013056,1610444.8,264600.0,402611.2,138011.2,294,1875044.8,20.0,6.86
59,a,2649883,2119906.4,431100.0,529976.6,98876.6,479,2551006.4,20.0,3.73
60,d,4042377,3274325.37,430200.0,768051.63,337851.63,478,3704525.37,19.0,8.36
61,a,2397642,1918113.6,427500.0,479528.4,52028.4,475,2345613.6,20.0,2.17
62,a,3141352,2513081.6,429300.0,628270.4,198970.4,477,2942381.6,20.0,6.33
63,c,3464262,2736766.98,432000.0,727495.02,295495.02,480,3168766.98,21.0,8.53
64,d,5218430,4226928.3,429300.0,991501.7,562201.7,477,4656228.3,19.0,10.77
65,a,2463299,1970639.2,429300.0,492659.8,63359.8,477,2399939.2,20.0,2.57
66,d,2932815,2375580.15,427500.0,557234.85,129734.85,475,2803080.15,19.0,4.42
67,a,3805554,3044443.2,427500.0,761110.8,333610.8,475,3471943.2,20.0,8.77
68,a,3709542,2967633.6,432000.0,741908.4,309908.4,480,3399633.6,20.0,8.35
69,c,4412300,3485717.0,430200.0,926583.0,496383.0,478,3915917.0,21.0,11.25
70,c,3189440,2519657.6,430200.0,669782.4,239582.4,478,2949857.6,21.0,7.51
71,a,4362703,3490162.4,429300.0,872540.6,443240.6,477,3919462.4,20.0,10.16
72,a,1330945,1064756.0,264600.0,266189.0,1589.0,294,1329356.0,20.0,0.12
73,a,2237001,1789600.8,432000.0,447400.2,15400.2,480,2221600.8,20.0,0.69
74,a,2973433,2378746.4,427500.0,594686.6,167186.6,475,2806246.4,20.0,5.62
75,d,2933400,2376054.0,432000.0,557346.0,125346.0,480,2808054.0,19.0,4.27
76,d,2689023,2178108.63,264600.0,510914.37,246314.37,294,2442708.63,19.0,9.16
77,d,3762609,3047713.29,430200.0,714895.71,284695.71,478,3477913.29,19.0,7.57
78,a,1806868,1445494.4,429300.0,361373.6,-67926.4,477,1874794.4,20.0,-3.76
79,a,2648094,2118475.2,427500.0,529618.8,102118.8,475,2545975.2,20.0,3.86
80,d,3692922,2991266.82,429300.0,701655.18,272355.18,477,3420566.82,19.0,7.38
81,a,2120704,1696563.2,264600.0,424140.8,159540.8,294,1961163.2,20.0,7.52
82,a,4374011,3499208.8,429300.0,874802.2,445502.2,477,3928508.8,20.0,10.19
83,a,1863649,1490919.2,429300.0,372729.8,-56570.2,477,1920219.2,20.0,-3.04
84,a,6273116,5018492.8,429300.0,1254623.2,825323.2,477,5447792.8,20.0,13.16
85,b,4233505,3513809.15,519300.0,719695.85,200395.85,577,4033109.15,17.0,4.73
86,a,2262481,1809984.8,428400.0,452496.2,24096.2,476,2238384.8,20.0,1.07
87,a,2822410,2257928.0,432000.0,564482.0,132482.0,480,2689928.0,20.0,4.69
88,a,2882358,2305886.4,429300.0,576471.6,147171.6,477,2735186.4,20.0,5.11
89,a,1765312,1412249.6,264600.0,353062.4,88462.4,294,1676849.6,20.0,5.01
90,a,4091352,3273081.6,429300.0,818270.4,388970.4,477,3702381.6,20.0,9.51
91,c,2703272,2135584.88,428400.0,567687.12,139287.12,476,2563984.88,21.0,5.15
92,c,2993580,2364928.2,429300.0,628651.8,199351.8,477,2794228.2,21.0,6.66
93,a,2828334,2262667.2,429300.0,565666.8,136366.8,477,2691967.2,20.0,4.82
94,d,3455554,2798998.74,429300.0,656555.26,227255.26,477,3228298.74,19.0,6.58
95,a,3561903,2849522.4,430200.0,712380.6,282180.6,478,3279722.4,20.0,7.92
96,a,2520653,2016522.4,430200.0,504130.6,73930.6,478,2446722.4,20.0,2.93
97,d,3263500,2643435.0,430200.0,620065.0,189865.0,478,3073635.0,19.0,5.82
98,d,2559478,2073177.18,429300.0,486300.82,57000.82,477,2502477.18,19.0,2.23
99,c,1618298,1278455.42,264600.0,339842.58,75242.58,294,1543055.42,21.0,4.65
100,d,2373851,1922819.31,264600.0,451031.69,186431.69,294,2187419.31,19.0,7.85
101,d,3688781,2987912.61,432000.0,700868.39,268868.39,480,3419912.61,19.0,7.29
102,a,3380585,2704468.0,419400.0,676117.0,256717.0,466,3123868.0,20.0,7.59
103,d,1608927,1303230.87,297900.0,305696.13,7796.13,331,1601130.87,19.0,0.48
104,a,4941079,3952863.2,432000.0,988215.8,556215.8,480,4384863.2,20.0,11.26
105,a,2316703,1853362.4,427500.0,463340.6,35840.6,475,2280862.4,20.0,1.55
106,a,4112931,3290344.8,432000.0,822586.2,390586.2,480,3722344.8,20.0,9.5
107,a,3617549,2894039.2,432000.0,723509.8,291509.8,480,3326039.2,20.0,8.06
108,d,3472333,2812589.73,264600.0,659743.27,395143.27,294,3077189.73,19.0,11.38
109,a,3144292,2515433.6,432000.0,628858.4,196858.4,480,2947433.6,20.0,6.26
110,a,2138667,1710933.6,432000.0,427733.4,-4266.6,480,2142933.6,20.0,-0.2
111,d,3268167,2647215.27,430200.0,620951.73,190751.73,478,3077415.27,19.0,5.84
112,a,3031488,2425190.4,432000.0,606297.6,174297.6,480,2857190.4,20.0,5.75
113,d,1981346,1604890.26,264600.0,376455.74,111855.74,294,1869490.26,19.0,5.65
114,c,2580180,2038342.2,432000.0,541837.8,109837.8,480,2470342.2,21.0,4.26
115,d,2285150,1850971.5,264600.0,434178.5,169578.5,294,2115571.5,19.0,7.42
116,a,3455687,2764549.6,432000.0,691137.4,259137.4,480,3196549.6,20.0,7.5
117,a,1855962,1484769.6,429300.0,371192.4,-58107.6,477,1914069.6,20.0,-3.13
118,d,3910579,3167568.99,431100.0,743010.01,311910.01,479,3598668.99,19.0,7.98
119,a,2915197,2332157.6,432000.0,583039.4,151039.4,480,2764157.6,20.0,5.18
120,d,3419308,2769639.48,430200.0,649668.52,219468.52,478,3199839.48,19.0,6.42
121,a,2119965,1695972.0,430200.0,423993.0,-6207.0,478,2126172.0,20.0,-0.29
122,a,3559320,2847456.0,486900.0,711864.0,224964.0,541,3334356.0,20.0,6.32
123,a,3912383,3129906.4,418500.0,782476.6,363976.6,465,3548406.4,20.0,9.3
124,a,2170184,1736147.2,429300.0,434036.8,4736.8,477,2165447.2,20.0,0.22
125,a,5681292,4545033.6,432000.0,1136258.4,704258.4,480,4977033.6,20.0,12.4
126,d,2761463,2236785.03,429300.0,524677.97,95377.97,477,2666085.03,19.0,3.45
127,d,1578353,1278465.93,264600.0,299887.07,35287.07,294,1543065.93,19.0,2.24
128,d,3862503,3128627.43,430200.0,733875.57,303675.57,478,3558827.43,19.0,7.86
129,a,2694485,2155588.0,264600.0,538897.0,274297.0,294,2420188.0,20.0,10.18
130,c,2494480,1970639.2,430200.0,523840.8,93640.8,478,2400839.2,21.0,3.75
131,c,2381169,1881123.51,429300.0,500045.49,70745.49,477,2310423.51,21.0,2.97
132,d,2041501,1653615.81,264600.0,387885.19,123285.19,294,1918215.81,19.0,6.04
133,a,2969957,2375965.6,431100.0,593991.4,162891.4,479,2807065.6,20.0,5.48
134,a,2258375,1806700.0,432000.0,451675.0,19675.0,480,2238700.0,20.0,0.87
135,d,2917749,2363376.69,430200.0,554372.31,124172.31,478,2793576.69,19.0,4.26
136,a,1751158,1400926.4,264600.0,350231.6,85631.6,294,1665526.4,20.0,4.89
137,a,2496607,1997285.6,264600.0,499321.4,234721.4,294,2261885.6,20.0,9.4
138,a,3604920,2883936.0,430200.0,720984.0,290784.0,478,3314136.0,20.0,8.07
139,a,1928781,1543024.8,264600.0,385756.2,121156.2,294,1807624.8,20.0,6.28
140,a,3619672,2895737.6,430200.0,723934.4,293734.4,478,3325937.6,20.0,8.11
141,c,2627080,2075393.2,427500.0,551686.8,124186.8,475,2502893.2,21.0,4.73
142,a,2202912,1762329.6,429300.0,440582.4,11282.4,477,2191629.6,20.0,0.51
143,d,3113553,2521977.93,429300.0,591575.07,162275.07,477,2951277.93,19.0,5.21
144,a,2208304,1766643.2,266400.0,441660.8,175260.8,296,2033043.2,20.0,7.94
145,a,2204685,1763748.0,252900.0,440937.0,188037.0,281,2016648.0,20.0,8.53
146,d,3888920,3150025.2,429300.0,738894.8,309594.8,477,3579325.2,19.0,7.96
147,d,3976578,3221028.18,429300.0,755549.82,326249.82,477,3650328.18,19.0,8.2
148,a,4198624,3358899.2,432000.0,839724.8,407724.8,480,3790899.2,20.0,9.71
149,d,1644797,1332285.57,264600.0,312511.43,47911.43,294,1596885.57,19.0,2.91
150,c,4170213,3294468.27,432000.0,875744.73,443744.73,480,3726468.27,21.0,10.64
151,d,3317815,2687430.15,429300.0,630384.85,201084.85,477,3116730.15,19.0,6.06
152,a,2678576,2142860.8,429300.0,535715.2,106415.2,477,2572160.8,20.0,3.97
153,a,3337165,2669732.0,429300.0,667433.0,238133.0,477,3099032.0,20.0,7.14
154,d,4326104,3504144.24,430200.0,821959.76,391759.76,478,3934344.24,19.0,9.06
155,d,2103249,1703631.69,264600.0,399617.31,135017.31,294,1968231.69,19.0,6.42
156,a,3304421,2643536.8,431100.0,660884.2,229784.2,479,3074636.8,20.0,6.95
157,a,4690746,3752596.8,429300.0,938149.2,508849.2,477,4181896.8,20.0,10.85
158,d,4001159,3240938.79,429300.0,760220.21,330920.21,477,3670238.79,19.0,8.27
159,d,2273072,1841188.32,264600.0,431883.68,167283.68,294,2105788.32,19.0,7.36
160,d,2750085,2227568.85,430200.0,522516.15,92316.15,478,2657768.85,19.0,3.36
161,a,3522378,2817902.4,429300.0,704475.6,275175.6,477,3247202.4,20.0,7.81
162,d,3780285,3062030.85,430200.0,718254.15,288054.15,478,3492230.85,19.0,7.62
163,a,3312629,2650103.2,432000.0,662525.8,230525.8,480,3082103.2,20.0,6.96
164,a,1889613,1511690.4,264600.0,377922.6,113322.6,294,1776290.4,20.0,6.0
165,a,1165218,932174.4,264600.0,233043.6,-31556.4,294,1196774.4,20.0,-2.71
166,a,2723982,2179185.6,429300.0,544796.4,115496.4,477,2608485.6,20.0,4.24
167,a,4551305,3641044.0,429300.0,910261.0,480961.0,477,4070344.0,20.0,10.57
168,a,3637884,2910307.2,427500.0,727576.8,300076.8,475,3337807.2,20.0,8.25
169,d,3184006,2579044.86,417600.0,604961.14,187361.14,464,2996644.86,19.0,5.88
170,a,2321783,1857426.4,429300.0,464356.6,35056.6,477,2286726.4,20.0,1.51
171,a,4072630,3258104.0,429300.0,814526.0,385226.0,477,3687404.0,20.0,9.46
172,a,2034004,1627203.2,264600.0,406800.8,142200.8,294,1891803.2,20.0,6.99
173,a,3907890,3126312.0,432000.0,781578.0,349578.0,480,3558312.0,20.0,8.95
174,a,1792140,1433712.0,264600.0,358428.0,93828.0,294,1698312.0,20.0,5.24
175,c,2848580,2250378.2,432000.0,598201.8,166201.8,480,2682378.2,21.0,5.83
176,a,2518776,2015020.8,429300.0,503755.2,74455.2,477,2444320.8,20.0,2.96
177,a,1921135,1536908.0,429300.0,384227.0,-45073.0,477,1966208.0,20.0,-2.35
178,d,4972944,4028084.64,430200.0,944859.36,514659.36,478,4458284.64,19.0,10.35
179,a,3588826,2871060.8,429300.0,717765.2,288465.2,477,3300360.8,20.0,8.04
180,d,3491446,2828071.26,432000.0,663374.74,231374.74,480,3260071.26,19.0,6.63
181,a,1889172,1511337.6,264600.0,377834.4,113234.4,294,1775937.6,20.0,5.99
182,d,2679832,2170663.92,430200.0,509168.08,78968.08,478,2600863.92,19.0,2.95
183,a,1415342,1132273.6,254700.0,283068.4,28368.4,283,1386973.6,20.0,2.0
184,d,3141423,2544552.63,428400.0,596870.37,168470.37,476,2972952.63,19.0,5.36
185,d,3526281,2856287.61,432000.0,669993.39,237993.39,480,3288287.61,19.0,6.75
186,a,1125144,900115.2,264600.0,225028.8,-39571.2,294,1164715.2,20.0,-3.52
187,a,3026427,2421141.6,432000.0,605285.4,173285.4,480,2853141.6,20.0,5.73
188,d,2475469,2005129.89,429300.0,470339.11,41039.11,477,2434429.89,19.0,1.66
189,d,4146116,3358353.96,429300.0,787762.04,358462.04,477,3787653.96,19.0,8.65
190,a,2186331,1749064.8,264600.0,437266.2,172666.2,294,2013664.8,20.0,7.9
191,a,1940348,1552278.4,264600.0,388069.6,123469.6,294,1816878.4,20.0,6.36
192,d,3142998,2545828.38,264600.0,597169.62,332569.62,294,2810428.38,19.0,10.58
193,a,2528967,2023173.6,427500.0,505793.4,78293.4,475,2450673.6,20.0,3.1
194,d,2360176,1911742.56,427500.0,448433.44,20933.44,475,2339242.56,19.0,0.89
195,a,5183366,4146692.8,429300.0,1036673.2,607373.2,477,4575992.8,20.0,11.72
196,c,2531475,1999865.25,431100.0,531609.75,100509.75,479,2430965.25,21.0,3.97
197,c,3253396,2570182.84,432000.0,683213.16,251213.16,480,3002182.84,21.0,7.72
198,a,1378185,1102548.0,431100.0,275637.0,-155463.0,479,1533648.0,20.0,-11.28
199,d,3976018,3220574.58,429300.0,755443.42,326143.42,477,3649874.58,19.0,8.2
200,a,3723391,2978712.8,429300.0,744678.2,315378.2,477,3408012.8,20.0,8.47
201,d,2562493,2075619.33,429300.0,486873.67,57573.67,477,2504919.33,19.0,2.25
202,d,3039261,2461801.41,430200.0,577459.59,147259.59,478,2892001.41,19.0,4.85
203,c,3350488,2646885.52,430200.0,703602.48,273402.48,478,3077085.52,21.0,8.16
204,a,1632648,1306118.4,264600.0,326529.6,61929.6,294,1570718.4,20.0,3.79
205,a,3131109,2504887.2,432000.0,626221.8,194221.8,480,2936887.2,20.0,6.2
206,a,3617176,2893740.8,429300.0,723435.2,294135.2,477,3323040.8,20.0,8.13
207,a,5376325,4301060.0,432000.0,1075265.0,643265.0,480,4733060.0,20.0,11.96
208,c,1414151,1117179.29,432000.0,296971.71,-135028.29,480,1549179.29,21.0,-9.55
209,a,3047944,2438355.2,486900.0,609588.8,122688.8,541,2925255.2,20.0,4.03
210,d,1559483,1263181.23,429300.0,296301.77,-132998.23,477,1692481.23,19.0,-8.53
211,a,6282413,5025930.4,432000.0,1256482.6,824482.6,480,5457930.4,20.0,13.12
212,a,2269545,1815636.0,432000.0,453909.0,21909.0,480,2247636.0,20.0,0.97
213,d,4103826,3324099.06,429300.0,779726.94,350426.94,477,3753399.06,19.0,8.54
214,d,4490630,3637410.3,429300.0,853219.7,423919.7,477,4066710.3,19.0,9.44
215,d,1882537,1524854.97,264600.0,357682.03,93082.03,294,1789454.97,19.0,4.94
216,c,3480448,2749553.92,427500.0,730894.08,303394.08,475,3177053.92,21.0,8.72
217,c,2299562,1816653.98,432000.0,482908.02,50908.02,480,2248653.98,21.0,2.21
218,a,1463236,1170588.8,264600.0,292647.2,28047.2,294,1435188.8,20.0,1.92
219,a,1516287,1213029.6,429300.0,303257.4,-126042.6,477,1642329.6,20.0,-8.31
220,a,2308989,1847191.2,427500.0,461797.8,34297.8,475,2274691.2,20.0,1.49
221,d,2888704,2339850.24,432000.0,548853.76,116853.76,480,2771850.24,19.0,4.05
222,a,2415168,1932134.4,432000.0,483033.6,51033.6,480,2364134.4,20.0,2.11
223,d,3500483,2835391.23,431100.0,665091.77,233991.77,479,3266491.23,19.0,6.68
224,d,3385961,2742628.41,427500.0,643332.59,215832.59,475,3170128.41,19.0,6.37
225,d,2523514,2044046.34,431100.0,479467.66,48367.66,479,2475146.34,19.0,1.92
226,a,3368239,2694591.2,430200.0,673647.8,243447.8,478,3124791.2,20.0,7.23
227,a,2945144,2356115.2,418500.0,589028.8,170528.8,465,2774615.2,20.0,5.79
228,d,3897021,3156587.01,429300.0,740433.99,311133.99,477,3585887.01,19.0,7.98
229,d,4224468,3421819.08,429300.0,802648.92,373348.92,477,3851119.08,19.0,8.84
230,d,3745524,3033874.44,432000.0,711649.56,279649.56,480,3465874.44,19.0,7.47
231,d,1450236,1174691.16,264600.0,275544.84,10944.84,294,1439291.16,19.0,0.75
232,c,1693249,1337666.71,429300.0,355582.29,-73717.71,477,1766966.71,21.0,-4.35
233,a,4567285,3653828.0,430200.0,913457.0,483257.0,478,4084028.0,20.0,10.58
234,d,5332371,4319220.51,429300.0,1013150.49,583850.49,477,4748520.51,19.0,10.95
235,a,2794093,2235274.4,430200.0,558818.6,128618.6,478,2665474.4,20.0,4.6
236,a,3477612,2782089.6,432000.0,695522.4,263522.4,480,3214089.6,20.0,7.58
237,a,2191435,1753148.0,432000.0,438287.0,6287.0,480,2185148.0,20.0,0.29
238,a,3576375,2861100.0,417600.0,715275.0,297675.0,464,3278700.0,20.0,8.32
239,d,2522980,2043613.8,429300.0,479366.2,50066.2,477,2472913.8,19.0,1.98
240,a,2329967,1863973.6,432000.0,465993.4,33993.4,480,2295973.6,20.0,1.46
241,d,3230500,2616705.0,429300.0,613795.0,184495.0,477,3046005.0,19.0,5.71
242,d,1937292,1569206.52,430200.0,368085.48,-62114.52,478,1999406.52,19.0,-3.21
243,a,2055192,1644153.6,264600.0,411038.4,146438.4,294,1908753.6,20.0,7.13
244,d,2561127,2074512.87,429300.0,486614.13,57314.13,477,2503812.87,19.0,2.24
245,a,4396976,3517580.8,430200.0,879395.2,449195.2,478,3947780.8,20.0,10.22
246,c,3408130,2692422.7,432000.0,715707.3,283707.3,480,3124422.7,21.0,8.32
247,d,4133549,3348174.69,430200.0,785374.31,355174.31,478,3778374.69,19.0,8.59
248,a,3936369,3149095.2,432000.0,787273.8,355273.8,480,3581095.2,20.0,9.03
249,d,2572693,2083881.33,432000.0,488811.67,56811.67,480,2515881.33,19.0,2.21
250,d,4277879,3465081.99,430200.0,812797.01,382597.01,478,3895281.99,19.0,8.94
251,a,9113513,7290810.4,429300.0,1822702.6,1393402.6,477,7720110.4,20.0,15.29
252,d,5003153,4052553.93,429300.0,950599.07,521299.07,477,4481853.93,19.0,10.42
253,a,2722867,2178293.6,429300.0,544573.4,115273.4,477,2607593.6,20.0,4.23
254,d,1497925,1213319.25,429300.0,284605.75,-144694.25,477,1642619.25,19.0,-9.66
255,c,3043427,2404307.33,429300.0,639119.67,209819.67,477,2833607.33,21.0,6.89
256,a,4512582,3610065.6,427500.0,902516.4,475016.4,475,4037565.6,20.0,10.53
257,a,2458684,1966947.2,432000.0,491736.8,59736.8,480,2398947.2,20.0,2.43
258,a,1678596,1342876.8,264600.0,335719.2,71119.2,294,1607476.8,20.0,4.24
259,b,7169661,5950818.63,519300.0,1218842.37,699542.37,577,6470118.63,17.0,9.76
260,a,3139944,2511955.2,432000.0,627988.8,195988.8,480,2943955.2,20.0,6.24
261,d,6011411,4869242.91,429300.0,1142168.09,712868.09,477,5298542.91,19.0,11.86
262,b,11952210,9920334.3,519300.0,2031875.7,1512575.7,577,10439634.3,17.0,12.66
263,a,1189474,951579.2,264600.0,237894.8,-26705.2,294,1216179.2,20.0,-2.25
264,a,3193190,2554552.0,412200.0,638638.0,226438.0,458,2966752.0,20.0,7.09
265,a,2402078,1921662.4,429300.0,480415.6,51115.6,477,2350962.4,20.0,2.13
266,a,1953006,1562404.8,430200.0,390601.2,-39598.8,478,1992604.8,20.0,-2.03
267,c,4421240,3492779.6,432000.0,928460.4,496460.4,480,3924779.6,21.0,11.23
268,a,2334686,1867748.8,432000.0,466937.2,34937.2,480,2299748.8,20.0,1.5
269,a,4428876,3543100.8,429300.0,885775.2,456475.2,477,3972400.8,20.0,10.31
270,a,4539086,3631268.8,432000.0,907817.2,475817.2,480,4063268.8,20.0,10.48
271,a,3860352,3088281.6,430200.0,772070.4,341870.4,478,3518481.6,20.0,8.86
272,a,2997653,2398122.4,430200.0,599530.6,169330.6,478,2828322.4,20.0,5.65
273,a,3512405,2809924.0,429300.0,702481.0,273181.0,477,3239224.0,20.0,7.78
274,b,2520666,2092152.78,519300.0,428513.22,-90786.78,577,2611452.78,17.0,-3.6
275,d,2110917,1709842.77,264600.0,401074.23,136474.23,294,1974442.77,19.0,6.47
276,a,1958760,1567008.0,430200.0,391752.0,-38448.0,478,1997208.0,20.0,-1.96
277,d,1843506,1493239.86,264600.0,350266.14,85666.14,294,1757839.86,19.0,4.65
278,a,3453864,2763091.2,432000.0,690772.8,258772.8,480,3195091.2,20.0,7.49
279,d,2896637,2346275.97,264600.0,550361.03,285761.03,294,2610875.97,19.0,9.87
280,d,2966858,2403154.98,427500.0,563703.02,136203.02,475,2830654.98,19.0,4.59
281,d,2849201,2307852.81,432000.0,541348.19,109348.19,480,2739852.81,19.0,3.84
282,a,2131162,1704929.6,432000.0,426232.4,-5767.6,480,2136929.6,20.0,-0.27
283,a,2139319,1711455.2,264600.0,427863.8,163263.8,294,1976055.2,20.0,7.63
284,d,1617546,1310212.26,264600.0,307333.74,42733.74,294,1574812.26,19.0,2.64
285,a,2604033,2083226.4,430200.0,520806.6,90606.6,478,2513426.4,20.0,3.48
286,a,2320917,1856733.6,429300.0,464183.4,34883.4,477,2286033.6,20.0,1.5
287,c,2425579,1916207.41,264600.0,509371.59,244771.59,294,2180807.41,21.0,10.09
288,d,1685720,1365433.2,264600.0,320286.8,55686.8,294,1630033.2,19.0,3.3
289,d,3018840,2445260.4,430200.0,573579.6,143379.6,478,2875460.4,19.0,4.75
290,a,3405299,2724239.2,429300.0,681059.8,251759.8,477,3153539.2,20.0,7.39
291,d,3813639,3089047.59,430200.0,724591.41,294391.41,478,3519247.59,19.0,7.72
292,a,2727187,2181749.6,415800.0,545437.4,129637.4,462,2597549.6,20.0,4.75
293,c,3031677,2395024.83,431100.0,636652.17,205552.17,479,2826124.83,21.0,6.78
294,a,2887469,2309975.2,430200.0,577493.8,147293.8,478,2740175.2,20.0,5.1
295,a,2623099,2098479.2,427500.0,524619.8,97119.8,475,2525979.2,20.0,3.7
296,a,3382215,2705772.0,430200.0,676443.0,246243.0,478,3135972.0,20.0,7.28
297,a,3360772,2688617.6,427500.0,672154.4,244654.4,475,3116117.6,20.0,7.28
298,d,2463183,1995178.23,264600.0,468004.77,203404.77,294,2259778.23,19.0,8.26
299,d,3463368,2805328.08,486900.0,658039.92,171139.92,541,3292228.08,19.0,4.94
300,a,3586865,2869492.0,431100.0,717373.0,286273.0,479,3300592.0,20.0,7.98
301,a,2700293,2160234.4,432000.0,540058.6,108058.6,480,2592234.4,20.0,4.0
302,d,1840394,1490719.14,430200.0,349674.86,-80525.14,478,1920919.14,19.0,-4.38
303,a,2902282,2321825.6,417600.0,580456.4,162856.4,464,2739425.6,20.0,5.61
304,a,3414343,2731474.4,432000.0,682868.6,250868.6,480,3163474.4,20.0,7.35
305,c,2859590,2259076.1,430200.0,600513.9,170313.9,478,2689276.1,21.0,5.96
306,a,1274925,1019940.0,264600.0,254985.0,-9615.0,294,1284540.0,20.0,-0.75
