Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
37,a,c,1100.0,,,1,42.0,2013.0,"Jan,Apr,Jul,Oct"
38,a,a,1300.0,11.0,2013.0,0,,,
39,a,a,820.0,11.0,2006.0,1,38.0,2013.0,"Jan,Apr,Jul,Oct"
40,b,b,1140.0,3.0,2015.0,1,11.0,2011.0,"Jan,Apr,Jul,Oct"
41,a,a,9500.0,,,1,19.0,2011.0,"Feb,May,Aug,Nov"
42,c,a,1780.0,4.0,2007.0,0,,,
43,c,a,,12.0,2014.0,0,,,
44,a,a,16000.0,1.0,2010.0,0,,,
45,c,c,60.0,3.0,2013.0,0,,,
46,c,a,1260.0,,,0,,,
47,a,c,960.0,7.0,2011.0,1,6.0,2011.0,"Mar,Jun,Sept,Dec"
48,a,c,1940.0,3.0,2003.0,1,29.0,2014.0,"Feb,May,Aug,Nov"
49,c,a,880.0,7.0,2006.0,1,24.0,2011.0,"Mar,Jun,Sept,Dec"
50,a,a,,9.0,2013.0,0,,,
51,a,c,1000.0,10.0,2009.0,0,,,
52,a,c,1740.0,2.0,2004.0,0,,,
53,c,b,420.0,,,0,,,
54,b,c,,2.0,2012.0,0,,,
55,c,a,,11.0,2002.0,0,,,
56,c,a,17500.0,8.0,2001.0,0,,,
57,a,c,1180.0,7.0,2012.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
58,b,a,200.0,10.0,2004.0,0,,,
59,a,c,11000.0,8.0,2012.0,0,,,
60,a,a,1420.0,3.0,2008.0,0,,,
61,b,c,,,,0,,,
62,a,a,10000.0,9.0,2008.0,1,11.0,2012.0,"Feb,May,Aug,Nov"
63,b,a,1780.0,1.0,2013.0,0,,,
64,c,a,,8.0,2013.0,1,15.0,2012.0,"Feb,May,Aug,Nov"
65,b,a,18500.0,,,0,,,
66,b,c,1520.0,1.0,2015.0,0,,,
67,b,a,80.0,,,1,34.0,2011.0,"Mar,Jun,Sept,Dec"
68,a,a,320.0,,,0,,,
69,a,a,1480.0,5.0,2000.0,1,32.0,2012.0,"Jan,Apr,Jul,Oct"
70,a,a,1860.0,4.0,2004.0,0,,,
71,a,c,100.0,8.0,2000.0,1,24.0,2011.0,"Jan,Apr,Jul,Oct"
72,a,a,420.0,5.0,2005.0,0,,,
73,d,c,10500.0,6.0,2015.0,0,,,
74,a,a,14500.0,10.0,2007.0,1,1.0,2011.0,"Jan,Apr,Jul,Oct"
75,a,c,100.0,2.0,2000.0,0,,,
76,a,a,1680.0,5.0,2007.0,0,,,
77,a,a,280.0,1.0,2003.0,1,52.0,2011.0,"Mar,Jun,Sept,Dec"
78,b,c,12000.0,12.0,2013.0,1,21.0,2014.0,"Feb,May,Aug,Nov"
79,b,c,,3.0,2001.0,1,23.0,2011.0,"Mar,Jun,Sept,Dec"
80,c,c,,10.0,2012.0,1,30.0,2013.0,"Mar,Jun,Sept,Dec"
81,b,a,1980.0,,,1,21.0,2014.0,"Jan,Apr,Jul,Oct"
82,a,a,4000.0,4.0,2000.0,1,41.0,2015.0,"Jan,Apr,Jul,Oct"
83,c,c,,8.0,2010.0,1,23.0,2013.0,"Feb,May,Aug,Nov"
84,a,a,3000.0,10.0,2007.0,0,,,
85,a,c,1480.0,3.0,2012.0,0,,,
86,a,c,14500.0,3.0,2009.0,1,12.0,2015.0,"Jan,Apr,Jul,Oct"
87,c,c,1960.0,11.0,2012.0,1,52.0,2012.0,"Feb,May,Aug,Nov"
88,a,c,,4.0,2007.0,0,,,
89,a,c,1740.0,3.0,2000.0,0,,,
90,a,a,,9.0,2002.0,0,,,
91,a,a,160.0,2.0,2007.0,0,,,
92,c,c,140.0,11.0,2006.0,1,51.0,2015.0,"Mar,Jun,Sept,Dec"
93,a,a,340.0,11.0,2012.0,0,,,
94,a,a,1840.0,11.0,2006.0,1,52.0,2011.0,"Feb,May,Aug,Nov"
95,a,a,10500.0,4.0,2013.0,1,23.0,2015.0,"Feb,May,Aug,Nov"
96,b,c,720.0,2.0,2003.0,1,2.0,2013.0,"Feb,May,Aug,Nov"
97,a,c,520.0,6.0,2006.0,0,,,
98,a,c,,5.0,2012.0,1,51.0,2014.0,"Feb,May,Aug,Nov"
99,a,a,14000.0,12.0,2001.0,1,28.0,2012.0,"Mar,Jun,Sept,Dec"
100,d,a,5500.0,,,1,21.0,2012.0,"Jan,Apr,Jul,Oct"
101,d,a,1620.0,12.0,2012.0,0,,,
102,c,a,1400.0,10.0,2009.0,0,,,
103,a,c,80.0,9.0,2012.0,1,35.0,2011.0,"Mar,Jun,Sept,Dec"
104,d,c,640.0,,,0,,,
105,c,a,,1.0,2013.0,0,,,
106,c,a,1120.0,1.0,2014.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
107,a,a,10500.0,,,1,38.0,2014.0,"Feb,May,Aug,Nov"
108,a,c,10500.0,3.0,2001.0,0,,,
109,a,c,1040.0,,,0,,,
110,d,a,680.0,2.0,2001.0,0,,,
111,a,c,9500.0,12.0,2003.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
112,a,a,320.0,9.0,2004.0,1,37.0,2011.0,"Mar,Jun,Sept,Dec"
113,a,a,1640.0,2.0,2010.0,0,,,
114,b,c,,,,0,,,
115,a,a,11000.0,5.0,2013.0,0,,,
116,d,a,15500.0,,,0,,,
117,c,c,280.0,4.0,2009.0,1,44.0,2014.0,"Feb,May,Aug,Nov"
118,c,a,660.0,7.0,2012.0,0,,,
119,a,c,920.0,,,0,,,
120,b,a,980.0,2.0,2003.0,0,,,
121,b,a,660.0,,,0,,,
122,b,a,,12.0,2001.0,1,28.0,2011.0,"Mar,Jun,Sept,Dec"
123,a,a,560.0,4.0,2008.0,1,26.0,2013.0,"Jan,Apr,Jul,Oct"
124,a,a,10500.0,12.0,2006.0,1,41.0,2012.0,"Jan,Apr,Jul,Oct"
125,a,a,1940.0,5.0,2015.0,0,,,
126,a,c,2500.0,5.0,2012.0,1,6.0,2014.0,"Jan,Apr,Jul,Oct"
127,a,a,720.0,2.0,2014.0,0,,,
128,a,a,1020.0,6.0,2013.0,1,25.0,2015.0,"Feb,May,Aug,Nov"
129,a,a,2500.0,6.0,2006.0,1,41.0,2013.0,"Jan,Apr,Jul,Oct"
130,b,a,1000.0,,,0,,,
131,a,a,9500.0,2.0,2000.0,1,8.0,2015.0,"Feb,May,Aug,Nov"
132,d,c,140.0,3.0,2008.0,0,,,
133,b,a,260.0,,,1,24.0,2012.0,"Feb,May,Aug,Nov"
134,a,c,12500.0,1.0,2011.0,0,,,
135,b,c,3000.0,2.0,2015.0,0,,,
136,a,a,160.0,8.0,2010.0,0,,,
137,d,a,,12.0,2013.0,0,,,
138,a,a,20.0,7.0,2003.0,0,,,
139,c,c,,2.0,2015.0,0,,,
140,a,a,12500.0,12.0,2008.0,1,17.0,2012.0,"Jan,Apr,Jul,Oct"
141,a,c,,7.0,2010.0,0,,,
142,a,c,,9.0,2012.0,0,,,
143,d,c,1040.0,3.0,2010.0,1,10.0,2012.0,"Feb,May,Aug,Nov"
144,b,a,14500.0,7.0,2005.0,1,16.0,2013.0,"Mar,Jun,Sept,Dec"
145,a,c,700.0,1.0,2009.0,0,,,
146,a,a,1560.0,,,0,,,
147,a,a,800.0,3.0,2013.0,1,36.0,2015.0,"Jan,Apr,Jul,Oct"
148,a,a,1620.0,11.0,2007.0,1,21.0,2014.0,"Mar,Jun,Sept,Dec"
149,a,c,,1.0,2008.0,0,,,
150,a,c,1440.0,8.0,2008.0,1,5.0,2012.0,"Feb,May,Aug,Nov"
151,c,c,320.0,2.0,2001.0,0,,,
152,d,a,1080.0,9.0,2001.0,0,,,
153,a,c,17000.0,,,1,2.0,2011.0,"Mar,Jun,Sept,Dec"
154,b,a,1740.0,12.0,2010.0,1,8.0,2015.0,"Mar,Jun,Sept,Dec"
155,a,a,1860.0,,,1,44.0,2012.0,"Mar,Jun,Sept,Dec"
156,b,c,1440.0,5.0,2013.0,0,,,
157,a,a,980.0,2.0,2011.0,0,,,
158,b,a,1980.0,8.0,2002.0,0,,,
159,c,c,4500.0,6.0,2001.0,0,,,
160,c,a,,,,0,,,
161,a,a,3000.0,,,0,,,
162,d,a,,,,1,33.0,2012.0,"Jan,Apr,Jul,Oct"
163,a,a,,3.0,2002.0,1,32.0,2011.0,"Jan,Apr,Jul,Oct"
164,a,c,260.0,,,0,,,
165,b,c,1300.0,5.0,2006.0,0,,,
166,a,a,1280.0,,,1,15.0,2013.0,"Feb,May,Aug,Nov"
167,c,a,20.0,1.0,2010.0,0,,,
168,c,a,600.0,6.0,2007.0,1,35.0,2015.0,"Jan,Apr,Jul,Oct"
169,a,c,15000.0,3.0,2002.0,0,,,
170,d,c,1180.0,2.0,2005.0,1,19.0,2013.0,"Feb,May,Aug,Nov"
171,a,c,500.0,6.0,2008.0,1,37.0,2013.0,"Feb,May,Aug,Nov"
172,a,a,960.0,,,1,20.0,2012.0,"Jan,Apr,Jul,Oct"
173,a,a,920.0,,,1,11.0,2015.0,"Feb,May,Aug,Nov"
174,d,a,580.0,,,1,29.0,2012.0,"Feb,May,Aug,Nov"
175,a,c,340.0,12.0,2003.0,0,,,
176,a,a,15500.0,11.0,2004.0,1,22.0,2013.0,"Mar,Jun,Sept,Dec"
177,a,c,,12.0,2002.0,1,24.0,2012.0,"Mar,Jun,Sept,Dec"
178,d,c,1640.0,7.0,2011.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
179,d,a,3000.0,6.0,2007.0,0,,,
180,c,a,,9.0,2004.0,0,,,
181,d,a,,1.0,2003.0,1,30.0,2012.0,"Feb,May,Aug,Nov"
182,d,a,120.0,11.0,2001.0,1,3.0,2012.0,"Jan,Apr,Jul,Oct"
183,a,a,,4.0,2007.0,0,,,
184,a,c,240.0,1.0,2010.0,0,,,
185,c,a,100.0,3.0,2003.0,0,,,
186,b,a,1340.0,,,0,,,
187,a,c,14000.0,1.0,2007.0,0,,,
188,a,c,280.0,,,0,,,
189,c,a,980.0,2.0,2005.0,0,,,
190,a,c,880.0,11.0,2004.0,1,9.0,2014.0,"Feb,May,Aug,Nov"
191,d,c,1320.0,6.0,2002.0,0,,,
192,a,c,,,,0,,,
193,a,c,1100.0,5.0,2013.0,0,,,
194,c,a,700.0,2.0,2012.0,0,,,
195,a,c,420.0,3.0,2008.0,1,23.0,2014.0,"Jan,Apr,Jul,Oct"
196,a,a,660.0,8.0,2011.0,1,24.0,2014.0,"Mar,Jun,Sept,Dec"
197,b,c,440.0,9.0,2006.0,0,,,
198,d,c,1900.0,4.0,2000.0,0,,,
199,a,a,1400.0,5.0,2005.0,0,,,
200,a,a,1660.0,12.0,2011.0,0,,,
201,c,c,,11.0,2010.0,0,,,
202,d,c,1920.0,5.0,2015.0,0,,,
203,a,a,520.0,,,0,,,
204,a,c,1260.0,,,1,23.0,2012.0,"Jan,Apr,Jul,Oct"
205,a,c,1040.0,7.0,2000.0,0,,,
206,a,a,,7.0,2004.0,0,,,
207,a,a,1020.0,3.0,2014.0,0,,,
208,b,a,460.0,1.0,2013.0,0,,,
209,a,c,13000.0,6.0,2001.0,0,,,
210,a,a,1420.0,10.0,2002.0,0,,,
211,c,c,320.0,,,0,,,
212,b,a,9000.0,5.0,2010.0,0,,,
213,a,c,700.0,,,1,44.0,2013.0,"Feb,May,Aug,Nov"
214,c,a,,3.0,2012.0,1,26.0,2014.0,"Jan,Apr,Jul,Oct"
215,c,a,,8.0,2003.0,0,,,
216,c,c,1220.0,4.0,2000.0,0,,,
217,a,a,1840.0,4.0,2010.0,1,34.0,2011.0,"Feb,May,Aug,Nov"
218,a,b,1880.0,,,1,2.0,2013.0,"Mar,Jun,Sept,Dec"
219,d,c,6000.0,3.0,2014.0,0,,,
220,a,c,240.0,3.0,2009.0,0,,,
221,a,c,1080.0,12.0,2008.0,0,,,
222,a,a,580.0,,,1,9.0,2013.0,"Jan,Apr,Jul,Oct"
223,b,c,10000.0,1.0,2001.0,0,,,
224,d,c,240.0,,,0,,,
225,a,a,1720.0,,,0,,,
226,d,a,12500.0,4.0,2002.0,0,,,
227,a,c,,7.0,2011.0,0,,,
228,b,a,960.0,8.0,2005.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
229,b,c,40.0,,,0,,,
230,a,c,12000.0,10.0,2013.0,0,,,
231,a,c,20.0,6.0,2013.0,0,,,
232,a,a,220.0,12.0,2003.0,1,19.0,2014.0,"Feb,May,Aug,Nov"
233,d,a,,2.0,2004.0,0,,,
234,b,a,,4.0,2013.0,0,,,
235,d,a,10500.0,9.0,2014.0,0,,,
236,c,c,,11.0,2001.0,1,10.0,2015.0,"Jan,Apr,Jul,Oct"
237,a,c,260.0,3.0,2013.0,1,44.0,2014.0,"Jan,Apr,Jul,Oct"
238,c,a,300.0,12.0,2007.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
239,a,a,1000.0,3.0,2009.0,1,11.0,2015.0,"Jan,Apr,Jul,Oct"
240,a,c,80.0,,,0,,,
241,c,a,,4.0,2010.0,0,,,
242,c,a,200.0,6.0,2010.0,0,,,
243,a,a,1800.0,,,1,19.0,2014.0,"Mar,Jun,Sept,Dec"
244,a,c,,9.0,2012.0,1,16.0,2012.0,"Mar,Jun,Sept,Dec"
245,b,a,13000.0,10.0,2015.0,0,,,
246,d,c,780.0,4.0,2013.0,1,31.0,2012.0,"Feb,May,Aug,Nov"
247,b,a,1560.0,,,0,,,
248,a,c,1820.0,6.0,2015.0,0,,,
249,a,a,15500.0,8.0,2010.0,0,,,
250,a,a,1420.0,9.0,2010.0,1,43.0,2013.0,"Mar,Jun,Sept,Dec"
251,b,a,960.0,8.0,2008.0,1,6.0,2012.0,"Feb,May,Aug,Nov"
252,d,a,18000.0,8.0,2012.0,0,,,
253,a,a,,6.0,2001.0,1,26.0,2014.0,"Mar,Jun,Sept,Dec"
254,a,a,1620.0,,,1,38.0,2014.0,"Jan,Apr,Jul,Oct"
255,a,a,100.0,,,1,13.0,2013.0,"Feb,May,Aug,Nov"
256,c,a,1660.0,5.0,2014.0,1,5.0,2011.0,"Feb,May,Aug,Nov"
257,c,c,,7.0,2001.0,0,,,
258,a,a,,,,1,24.0,2011.0,"Jan,Apr,Jul,Oct"
259,a,c,1340.0,5.0,2002.0,1,8.0,2011.0,"Jan,Apr,Jul,Oct"
260,b,c,500.0,10.0,2014.0,1,35.0,2015.0,"Mar,Jun,Sept,Dec"
261,a,a,1900.0,,,0,,,
262,c,c,,3.0,2003.0,1,24.0,2014.0,"Feb,May,Aug,Nov"
263,a,c,,,,1,37.0,2015.0,"Feb,May,Aug,Nov"
264,a,c,180.0,10.0,2007.0,0,,,
265,d,a,960.0,2.0,2015.0,1,24.0,2012.0,"Feb,May,Aug,Nov"
266,a,a,1580.0,,,0,,,
267,a,a,340.0,5.0,2000.0,0,,,
268,a,b,,8.0,2003.0,0,,,
269,a,c,380.0,4.0,2006.0,1,4.0,2014.0,"Feb,May,Aug,Nov"
270,a,c,7000.0,10.0,2003.0,1,9.0,2013.0,"Feb,May,Aug,Nov"
271,a,a,,11.0,2002.0,0,,,
272,a,c,9000.0,7.0,2015.0,1,25.0,2013.0,"Jan,Apr,Jul,Oct"
273,a,a,15000.0,5.0,2013.0,0,,,
274,b,c,880.0,1.0,2006.0,0,,,
275,c,a,,10.0,2003.0,1,2.0,2014.0,"Jan,Apr,Jul,Oct"
276,a,c,1400.0,,,1,43.0,2015.0,"Jan,Apr,Jul,Oct"
277,a,c,220.0,6.0,2014.0,1,24.0,2014.0,"Mar,Jun,Sept,Dec"
278,a,a,1220.0,7.0,2005.0,1,4.0,2014.0,"Feb,May,Aug,Nov"
279,d,a,1160.0,10.0,2000.0,1,12.0,2011.0,"Feb,May,Aug,Nov"
280,d,c,1740.0,9.0,2006.0,0,,,
281,a,a,880.0,2.0,2007.0,0,,,
282,a,b,1540.0,9.0,2009.0,0,,,
283,a,c,1420.0,12.0,2005.0,1,2.0,2013.0,"Jan,Apr,Jul,Oct"
284,a,c,1080.0,,,1,4.0,2014.0,"Feb,May,Aug,Nov"
285,b,a,9500.0,,,1,2.0,2011.0,"Jan,Apr,Jul,Oct"
286,a,a,1020.0,7.0,2015.0,0,,,
287,a,a,15500.0,,,0,,,
288,a,c,840.0,,,1,35.0,2015.0,"Jan,Apr,Jul,Oct"
289,a,a,,3.0,2005.0,1,11.0,2012.0,"Jan,Apr,Jul,Oct"
290,a,a,1220.0,5.0,2011.0,0,,,
291,c,a,140.0,4.0,2011.0,0,,,
292,a,c,500.0,5.0,2005.0,0,,,
293,d,a,19000.0,5.0,2015.0,0,,,
294,a,c,,1.0,2013.0,0,,,
295,c,c,700.0,9.0,2014.0,0,,,
296,d,c,2000.0,,,1,21.0,2014.0,"Mar,Jun,Sept,Dec"
297,d,c,1900.0,,,0,,,
298,c,c,460.0,3.0,2001.0,0,,,
299,c,c,1500.0,9.0,2001.0,0,,,
300,b,a,9500.0,3.0,2015.0,1,40.0,2015.0,"Feb,May,Aug,Nov"
301,c,c,,7.0,2002.0,0,,,
302,a,c,,,,0,,,
303,a,c,340.0,,,0,,,
304,a,c,800.0,,,1,52.0,2015.0,"Jan,Apr,Jul,Oct"
305,d,c,1460.0,,,1,44.0,2011.0,"Mar,Jun,Sept,Dec"
306,a,c,500.0,,,0,,,
307,a,a,1900.0,11.0,2011.0,0,,,
308,b,a,40.0,3.0,2007.0,0,,,
309,a,a,380.0,4.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
310,a,a,160.0,4.0,2005.0,1,11.0,2014.0,"Jan,Apr,Jul,Oct"
311,a,a,980.0,12.0,2008.0,0,,,
312,a,a,15000.0,2.0,2004.0,0,,,
313,a,a,600.0,,,1,18.0,2014.0,"Feb,May,Aug,Nov"
314,a,c,,6.0,2002.0,1,20.0,2012.0,"Jan,Apr,Jul,Oct"
315,a,a,900.0,,,0,,,
316,a,c,160.0,,,0,,,
317,a,c,1120.0,12.0,2008.0,0,,,
318,c,a,14000.0,9.0,2007.0,1,47.0,2012.0,"Jan,Apr,Jul,Oct"
319,a,a,360.0,9.0,2010.0,1,49.0,2012.0,"Mar,Jun,Sept,Dec"
320,d,a,240.0,10.0,2008.0,1,45.0,2015.0,"Mar,Jun,Sept,Dec"
321,d,c,,2.0,2004.0,1,48.0,2012.0,"Feb,May,Aug,Nov"
322,a,a,1960.0,,,0,,,
323,a,a,1140.0,8.0,2010.0,0,,,
324,a,c,14500.0,3.0,2015.0,0,,,
325,c,c,,2.0,2012.0,1,7.0,2013.0,"Jan,Apr,Jul,Oct"
326,b,a,1200.0,2.0,2010.0,1,6.0,2014.0,"Mar,Jun,Sept,Dec"
327,c,a,1860.0,10.0,2014.0,0,,,
328,a,a,40.0,8.0,2014.0,0,,,
329,b,a,1020.0,4.0,2008.0,1,42.0,2012.0,"Mar,Jun,Sept,Dec"
330,a,a,1980.0,9.0,2001.0,1,49.0,2011.0,"Mar,Jun,Sept,Dec"
331,c,c,660.0,9.0,2010.0,1,34.0,2011.0,"Jan,Apr,Jul,Oct"
332,a,c,,10.0,2009.0,0,,,
333,c,b,,11.0,2004.0,1,15.0,2014.0,"Feb,May,Aug,Nov"
334,d,c,860.0,11.0,2013.0,1,23.0,2012.0,"Feb,May,Aug,Nov"
335,a,a,1320.0,3.0,2013.0,1,51.0,2011.0,"Feb,May,Aug,Nov"
336,b,c,640.0,10.0,2005.0,1,43.0,2012.0,"Feb,May,Aug,Nov"
337,a,c,1680.0,5.0,2007.0,1,11.0,2013.0,"Mar,Jun,Sept,Dec"
338,c,c,420.0,5.0,2003.0,1,49.0,2012.0,"Feb,May,Aug,Nov"
339,a,c,1300.0,8.0,2002.0,1,26.0,2012.0,"Jan,Apr,Jul,Oct"
340,d,a,1840.0,8.0,2004.0,0,,,
341,a,a,2500.0,6.0,2005.0,0,,,
342,d,a,1980.0,,,1,32.0,2012.0,"Mar,Jun,Sept,Dec"
343,c,a,740.0,3.0,2002.0,1,9.0,2015.0,"Feb,May,Aug,Nov"
344,b,c,17500.0,,,0,,,
345,c,a,9500.0,1.0,2009.0,0,,,
346,c,c,14500.0,10.0,2005.0,1,44.0,2011.0,"Jan,Apr,Jul,Oct"
347,d,c,1560.0,5.0,2008.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
348,a,a,,,,1,4.0,2012.0,"Feb,May,Aug,Nov"
349,b,a,1300.0,,,0,,,
350,a,c,18500.0,6.0,2010.0,1,24.0,2013.0,"Jan,Apr,Jul,Oct"
351,b,c,680.0,,,1,45.0,2012.0,"Jan,Apr,Jul,Oct"
352,a,a,820.0,1.0,2000.0,0,,,
353,b,a,1740.0,2.0,2013.0,0,,,
354,b,c,1840.0,12.0,2005.0,1,2.0,2013.0,"Jan,Apr,Jul,Oct"
355,a,a,14000.0,,,0,,,
356,a,c,1000.0,3.0,2011.0,1,45.0,2011.0,"Feb,May,Aug,Nov"
357,c,a,,,,1,9.0,2013.0,"Jan,Apr,Jul,Oct"
358,c,a,1100.0,5.0,2002.0,1,17.0,2014.0,"Mar,Jun,Sept,Dec"
359,a,a,1780.0,4.0,2015.0,0,,,
360,b,a,,4.0,2003.0,1,3.0,2013.0,"Feb,May,Aug,Nov"
361,d,a,1800.0,,,0,,,
362,a,a,8500.0,2.0,2003.0,1,47.0,2014.0,"Jan,Apr,Jul,Oct"
363,a,c,,4.0,2001.0,0,,,
364,a,a,,6.0,2000.0,1,8.0,2013.0,"Mar,Jun,Sept,Dec"
365,b,a,1660.0,7.0,2000.0,1,36.0,2012.0,"Mar,Jun,Sept,Dec"
366,a,a,1380.0,11.0,2007.0,0,,,
367,c,a,660.0,12.0,2006.0,0,,,
368,b,c,1780.0,4.0,2000.0,1,4.0,2012.0,"Feb,May,Aug,Nov"
369,a,a,,7.0,2005.0,0,,,
370,d,c,1620.0,1.0,2004.0,0,,,
371,c,a,1160.0,,,0,,,
372,a,c,360.0,2.0,2015.0,1,46.0,2013.0,"Feb,May,Aug,Nov"
373,a,a,1300.0,,,1,26.0,2015.0,"Jan,Apr,Jul,Oct"
374,a,c,800.0,,,0,,,
375,a,a,,3.0,2003.0,1,32.0,2015.0,"Jan,Apr,Jul,Oct"
376,a,a,1760.0,6.0,2003.0,0,,,
377,d,c,460.0,2.0,2012.0,0,,,
378,a,c,240.0,9.0,2004.0,0,,,
379,a,c,,10.0,2013.0,0,,,
380,c,a,,7.0,2007.0,0,,,
381,b,c,15000.0,11.0,2003.0,1,45.0,2015.0,"Feb,May,Aug,Nov"
382,d,c,420.0,6.0,2013.0,0,,,
383,c,c,340.0,,,1,6.0,2015.0,"Jan,Apr,Jul,Oct"
384,a,a,660.0,2.0,2012.0,0,,,
385,a,c,14000.0,3.0,2007.0,0,,,
386,d,c,15500.0,,,0,,,
387,c,c,,4.0,2010.0,1,10.0,2011.0,"Mar,Jun,Sept,Dec"
388,d,a,320.0,3.0,2001.0,1,45.0,2015.0,"Mar,Jun,Sept,Dec"
389,a,a,520.0,,,0,,,
390,d,c,,2.0,2006.0,0,,,
391,b,a,,8.0,2012.0,0,,,
392,a,c,12000.0,5.0,2013.0,1,14.0,2015.0,"Mar,Jun,Sept,Dec"
393,b,a,360.0,,,0,,,
394,c,a,240.0,7.0,2014.0,1,4.0,2013.0,"Mar,Jun,Sept,Dec"
395,a,c,200.0,11.0,2001.0,0,,,
396,a,a,9500.0,6.0,2001.0,0,,,
397,c,a,,4.0,2015.0,1,23.0,2014.0,"Feb,May,Aug,Nov"
398,a,c,4500.0,8.0,2009.0,0,,,
399,a,c,880.0,8.0,2007.0,0,,,
400,a,c,14500.0,,,1,14.0,2014.0,"Feb,May,Aug,Nov"
401,a,a,200.0,7.0,2004.0,0,,,
402,d,a,,6.0,2010.0,0,,,
403,c,c,,4.0,2013.0,0,,,
404,a,a,11500.0,4.0,2014.0,0,,,
405,d,a,,11.0,2006.0,1,39.0,2015.0,"Feb,May,Aug,Nov"
406,d,a,1940.0,9.0,2007.0,0,,,
407,a,a,1560.0,2.0,2002.0,1,20.0,2014.0,"Jan,Apr,Jul,Oct"
408,c,c,1080.0,12.0,2001.0,1,14.0,2012.0,"Feb,May,Aug,Nov"
409,a,c,,9.0,2007.0,1,23.0,2012.0,"Jan,Apr,Jul,Oct"
410,d,c,10000.0,1.0,2009.0,1,30.0,2011.0,"Jan,Apr,Jul,Oct"
411,b,a,640.0,9.0,2001.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
412,b,a,,,,1,24.0,2011.0,"Jan,Apr,Jul,Oct"
413,a,a,200.0,,,0,,,
414,d,a,1940.0,,,0,,,
415,a,a,640.0,,,1,38.0,2013.0,"Mar,Jun,Sept,Dec"
416,a,a,7000.0,4.0,2005.0,0,,,
417,a,a,1380.0,,,1,46.0,2015.0,"Feb,May,Aug,Nov"
418,c,c,1460.0,8.0,2013.0,0,,,
419,a,c,7500.0,10.0,2011.0,1,48.0,2013.0,"Mar,Jun,Sept,Dec"
420,d,a,14500.0,11.0,2004.0,0,,,
421,b,a,1260.0,10.0,2010.0,1,46.0,2013.0,"Mar,Jun,Sept,Dec"
