service_id,client_id,staff_id,service_date,service_type_code,duration_minutes
L000085,K0020,S025,2025-01-02,GRP,180
L000086,K0138,S022,2025-01-02,DOK,60
L000087,K0150,S018,2025-01-02,BEG,30
L000088,K0092,S022,2025-01-02,GRP,60
L000089,K0036,S018,2025-01-02,DOK,120
L000090,K0148,S022,2025-01-02,BEG,60
L000091,K0063,S008,2025-01-02,FAL,90
L000092,K0163,S022,2025-01-02,SCH,45
L000093,K0165,S031,2025-01-02,SCH,60
L000094,K0117,S014,2025-01-03,DOK,45
L000095,K0091,S032,2025-01-03,BEG,60
L000096,K0152,S002,2025-01-03,AST,180
L000097,K0037,S008,2025-01-03,AST,30
L000098,K0163,S004,2025-01-03,DOK,180
L000099,K0146,S020,2025-01-03,SCH,120
L000100,K0105,S028,2025-01-03,AST,90
L000101,K0121,S002,2025-01-03,BER,180
L000102,K0162,S031,2025-01-03,AST,90
L000103,K0144,S005,2025-01-03,AST,90
L000104,K0032,S034,2025-01-03,AST,90
L000105,K0014,S011,2025-01-03,SCH,120
L000106,K0100,S011,2025-01-03,BEG,90
L000107,K0142,S010,2025-01-03,AST,120
L000108,K0115,S010,2025-01-03,AST,60
L000109,K0176,S023,2025-01-03,SCH,120
L000110,K0055,S011,2025-01-03,DOK,45
L000111,K0140,S020,2025-01-03,BEG,180
L000112,K0092,S011,2025-01-03,GRP,60
L000113,K0067,S018,2025-01-03,DOK,60
L000114,K0144,S024,2025-01-03,AST,90
L000115,K0141,S034,2025-01-03,AST,60
L000116,K0009,S008,2025-01-03,FAL,45
L000117,K0159,S012,2025-01-03,SCH,30
L000118,K0138,S022,2025-01-03,BER,120
L000119,K0128,S005,2025-01-03,SCH,60
L000120,K0071,S004,2025-01-03,GRP,30
L000121,K0020,S005,2025-01-03,GRP,30
L000122,K0101,S008,2025-01-03,FAL,120
L000123,K0038,S005,2025-01-03,BER,45
L000124,K0049,S015,2025-01-03,AST,30
L000125,K0090,S003,2025-01-03,AST,120
L000126,K0027,S003,2025-01-03,BEG,120
L000127,K0131,S027,2025-01-03,BEG,45
L000128,K0079,S027,2025-01-03,SCH,60
L000129,K0151,S007,2025-01-03,DOK,60
L000130,K0027,S001,2025-01-03,AST,30
L000131,K0159,S008,2025-01-03,BEG,120
L000132,K0076,S032,2025-01-03,AST,45
L000133,K0095,S023,2025-01-03,BEG,30
L000134,K0083,S003,2025-01-03,AST,180
L000135,K0178,S025,2025-01-03,AST,180
L000136,K0031,S006,2025-01-03,DOK,45
L000137,K0053,S025,2025-01-03,SCH,30
L000138,K0151,S005,2025-01-03,GRP,180
L000139,K0034,S011,2025-01-03,SCH,45
L000140,K0043,S010,2025-01-03,BEG,60
L000141,K0101,S005,2025-01-03,DOK,90
L000142,K0024,S025,2025-01-03,AST,30
L000143,K0038,S028,2025-01-06,GRP,60
L000144,K0096,S001,2025-01-06,DOK,45
L000145,K0009,S003,2025-01-06,DOK,60
L000146,K0176,S029,2025-01-06,DOK,180
L000147,K0052,S005,2025-01-06,AST,30
L000148,K0050,S023,2025-01-06,FAL,120
L000149,K0095,S006,2025-01-06,SCH,45
L000150,K0009,S027,2025-01-06,GRP,60
L000151,K0178,S020,2025-01-06,SCH,90
L000152,K0106,S013,2025-01-06,DOK,60
L000153,K0160,S011,2025-01-06,SCH,180
L000154,K0092,S015,2025-01-06,BEG,60
L000155,K0025,S014,2025-01-06,DOK,45
L000156,K0084,S027,2025-01-06,AST,60
L000157,K0107,S004,2025-01-06,AST,120
L000158,K0124,S020,2025-01-06,FAL,180
L000159,K0060,S012,2025-01-06,DOK,120
L000160,K0144,S004,2025-01-06,AST,45
L000161,K0149,S015,2025-01-06,SCH,60
L000162,K0128,S001,2025-01-06,AST,60
L000163,K0001,S013,2025-01-06,DOK,120
L000164,K0063,S004,2025-01-06,BEG,60
L000165,K0151,S018,2025-01-06,AST,60
L000166,K0131,S024,2025-01-06,DOK,120
L000167,K0049,S023,2025-01-06,SCH,180
L000168,K0142,S011,2025-01-06,DOK,90
L000169,K0119,S003,2025-01-06,BER,45
L000170,K0038,S005,2025-01-06,GRP,90
L000171,K0032,S017,2025-01-06,AST,180
L000172,K0011,S001,2025-01-06,BEG,180
L000173,K0105,S014,2025-01-06,AST,90
L000174,K0087,S004,2025-01-06,SCH,60
L000175,K0025,S010,2025-01-06,AST,60
L000176,K0052,S027,2025-01-06,AST,180
L000177,K0147,S032,2025-01-06,AST,30
L000178,K0103,S015,2025-01-06,AST,30
L000179,K0037,S018,2025-01-06,AST,120
L000180,K0091,S029,2025-01-06,BER,90
L000181,K0179,S027,2025-01-06,AST,30
L000182,K0031,S023,2025-01-06,AST,45
L000183,K0040,S004,2025-01-06,AST,180
L000184,K0083,S013,2025-01-06,SCH,30
L000185,K0178,S031,2025-01-06,AST,30
L000186,K0120,S022,2025-01-06,AST,30
L000187,K0052,S020,2025-01-06,AST,180
L000188,K0149,S029,2025-01-06,AST,120
L000189,K0022,S001,2025-01-06,DOK,90
L000190,K0142,S011,2025-01-06,SCH,180
L000191,K0147,S022,2025-01-06,GRP,60
L000192,K0038,S018,2025-01-06,AST,45
L000193,K0116,S015,2025-01-06,SCH,60
L000194,K0006,S007,2025-01-07,GRP,120
L000195,K0020,S023,2025-01-07,AST,60
L000196,K0176,S017,2025-01-07,DOK,60
L000197,K0083,S001,2025-01-07,SCH,45
L000198,K0011,S032,2025-01-07,GRP,180
L000199,K0034,S025,2025-01-07,SCH,120
L000200,K0121,S020,2025-01-07,AST,60
L000201,K0096,S034,2025-01-07,DOK,90
L000202,K0050,S018,2025-01-07,FAL,90
L000203,K0162,S005,2025-01-07,AST,45
L000204,K0008,S024,2025-01-07,AST,120
L000205,K0050,S003,2025-01-07,SCH,120
L000206,K0178,S020,2025-01-07,GRP,180
L000207,K0092,S004,2025-01-07,AST,30
L000208,K0114,S006,2025-01-07,FAL,90
L000209,K0122,S027,2025-01-07,DOK,120
L000210,K0091,S018,2025-01-07,AST,120
L000211,K0020,S007,2025-01-07,GRP,90
L000212,K0116,S018,2025-01-07,BEG,30
L000213,K0098,S025,2025-01-07,GRP,45
L000214,K0020,S023,2025-01-07,BEG,120
L000215,K0164,S007,2025-01-07,BEG,60
L000216,K0014,S029,2025-01-07,GRP,60
L000217,K0020,S017,2025-01-07,DOK,30
L000218,K0044,S025,2025-01-07,AST,90
L000219,K0046,S013,2025-01-07,GRP,180
L000220,K0045,S032,2025-01-07,SCH,45
L000221,K0134,S022,2025-01-07,DOK,60
L000222,K0031,S015,2025-01-07,GRP,45
L000223,K0028,S012,2025-01-07,FAL,60
L000224,K0099,S034,2025-01-07,BEG,60
L000225,K0115,S001,2025-01-07,AST,60
L000226,K0151,S014,2025-01-07,SCH,60
L000227,K0076,S010,2025-01-07,AST,180
L000228,K0093,S020,2025-01-07,SCH,120
L000229,K0144,S031,2025-01-07,AST,90
L000230,K0114,S025,2025-01-07,AST,90
L000231,K0009,S025,2025-01-07,DOK,180
L000232,K0012,S024,2025-01-07,GRP,120
L000233,K0115,S012,2025-01-07,SCH,60
L000234,K0142,S005,2025-01-07,AST,60
L000235,K0024,S004,2025-01-07,BEG,180
L000236,K0096,S001,2025-01-07,AST,60
L000237,K0116,S031,2025-01-07,GRP,180
L000238,K0146,S029,2025-01-07,GRP,30
L000239,K0092,S013,2025-01-07,BEG,180
L000240,K0134,S013,2025-01-07,DOK,180
L000241,K0137,S005,2025-01-07,GRP,180
L000242,K0050,S011,2025-01-07,BEG,60
L000243,K0110,S008,2025-01-08,AST,30
L000244,K0124,S008,2025-01-08,AST,60
L000245,K0084,S020,2025-01-08,GRP,60
L000246,K0022,S023,2025-01-08,AST,90
L000247,K0040,S011,2025-01-08,GRP,30
L000248,K0063,S022,2025-01-08,GRP,60
L000249,K0005,S014,2025-01-08,GRP,120
L000250,K0004,S017,2025-01-08,AST,90
L000251,K0095,S024,2025-01-08,AST,30
L000252,K0162,S034,2025-01-08,GRP,90
L000253,K0173,S004,2025-01-08,AST,180
L000254,K0122,S002,2025-01-08,SCH,45
L000255,K0021,S008,2025-01-08,DOK,90
L000256,K0131,S005,2025-01-08,AST,180
L000257,K0010,S024,2025-01-08,SCH,180
L000258,K0135,S025,2025-01-08,FAL,180
L000259,K0005,S031,2025-01-08,GRP,30
L000260,K0122,S004,2025-01-08,BER,120
L000261,K0152,S031,2025-01-08,AST,180
L000262,K0153,S029,2025-01-08,GRP,120
L000263,K0008,S023,2025-01-08,SCH,60
L000264,K0160,S034,2025-01-08,AST,60
L000265,K0063,S031,2025-01-08,DOK,90
L000266,K0071,S028,2025-01-08,DOK,120
L000267,K0018,S015,2025-01-08,SCH,90
L000268,K0009,S008,2025-01-08,FAL,120
L000269,K0079,S022,2025-01-08,SCH,45
L000270,K0045,S025,2025-01-08,GRP,30
L000271,K0032,S024,2025-01-08,SCH,180
L000272,K0153,S022,2025-01-08,GRP,120
L000273,K0025,S001,2025-01-08,AST,60
L000274,K0164,S024,2025-01-08,AST,45
L000275,K0073,S015,2025-01-08,AST,60
L000276,K0034,S004,2025-01-08,AST,60
L000277,K0160,S004,2025-01-08,BEG,120
L000278,K0157,S007,2025-01-08,AST,90
L000279,K0011,S020,2025-01-09,SCH,120
L000280,K0076,S022,2025-01-09,SCH,60
L000281,K0116,S020,2025-01-09,AST,30
L000282,K0049,S015,2025-01-09,FAL,90
L000283,K0135,S023,2025-01-09,DOK,30
L000284,K0032,S017,2025-01-09,DOK,60
L000285,K0173,S001,2025-01-09,SCH,30
L000286,K0071,S017,2025-01-09,AST,30
L000287,K0055,S032,2025-01-09,BEG,180
L000288,K0046,S004,2025-01-09,AST,60
L000289,K0017,S006,2025-01-09,AST,60
L000290,K0044,S029,2025-01-09,BEG,60
L000291,K0045,S012,2025-01-09,FAL,45
L000292,K0102,S001,2025-01-09,AST,180
L000293,K0054,S012,2025-01-09,BEG,60
L000294,K0121,S034,2025-01-09,AST,120
L000295,K0027,S015,2025-01-09,GRP,120
L000296,K0129,S032,2025-01-09,AST,180
L000297,K0140,S025,2025-01-09,AST,60
L000298,K0171,S014,2025-01-09,AST,90
L000299,K0008,S018,2025-01-09,DOK,60
L000300,K0165,S017,2025-01-09,AST,60
L000301,K0076,S031,2025-01-09,GRP,120
L000302,K0098,S005,2025-01-09,AST,30
L000303,K0070,S006,2025-01-09,FAL,60
L000304,K0095,S002,2025-01-09,BEG,45
L000305,K0122,S018,2025-01-09,AST,180
L000306,K0017,S007,2025-01-09,AST,180
L000307,K0130,S018,2025-01-09,AST,60
L000308,K0145,S006,2025-01-09,DOK,45
L000309,K0052,S014,2025-01-09,SCH,90
L000310,K0144,S017,2025-01-09,AST,120
L000311,K0157,S007,2025-01-09,DOK,60
L000312,K0049,S001,2025-01-09,BER,30
L000313,K0119,S022,2025-01-09,SCH,120
L000314,K0016,S012,2025-01-09,DOK,60
L000315,K0065,S008,2025-01-09,BER,45
L000316,K0068,S034,2025-01-09,SCH,120
L000317,K0129,S012,2025-01-09,AST,120
L000318,K0171,S015,2025-01-09,GRP,120
L000319,K0173,S023,2025-01-09,GRP,30
L000320,K0045,S010,2025-01-09,SCH,60
L000321,K0016,S001,2025-01-09,AST,90
L000322,K0138,S029,2025-01-09,AST,45
L000323,K0124,S015,2025-01-09,AST,60
L000324,K0027,S012,2025-01-09,BEG,60
L000325,K0098,S010,2025-01-09,GRP,60
L000326,K0030,S034,2025-01-09,SCH,45
L000327,K0140,S029,2025-01-09,GRP,90
L000328,K0011,S027,2025-01-09,SCH,90
L000329,K0013,S002,2025-01-09,BER,60
L000330,K0007,S034,2025-01-10,AST,30
L000331,K0011,S003,2025-01-10,GRP,90
L000332,K0130,S010,2025-01-10,FAL,120
L000333,K0095,S012,2025-01-10,SCH,60
L000334,K0178,S005,2025-01-10,SCH,60
L000335,K0063,S029,2025-01-10,DOK,180
L000336,K0147,S023,2025-01-10,SCH,30
L000337,K0171,S015,2025-01-10,BER,180
L000338,K0046,S024,2025-01-10,FAL,45
L000339,K0173,S020,2025-01-10,SCH,60
L000340,K0145,S007,2025-01-10,DOK,120
L000341,K0005,S023,2025-01-10,FAL,60
L000342,K0016,S027,2025-01-10,GRP,30
L000343,K0179,S034,2025-01-10,SCH,90
L000344,K0102,S031,2025-01-10,SCH,30
L000345,K0178,S032,2025-01-10,AST,60
L000346,K0105,S034,2025-01-10,AST,45
L000347,K0031,S008,2025-01-10,BEG,45
L000348,K0124,S025,2025-01-10,BEG,180
L000349,K0049,S018,2025-01-10,AST,90
L000350,K0114,S027,2025-01-10,AST,90
L000351,K0030,S005,2025-01-10,BEG,90
L000352,K0049,S032,2025-01-10,SCH,60
L000353,K0068,S007,2025-01-10,BEG,60
L000354,K0005,S005,2025-01-10,AST,180
L000355,K0060,S002,2025-01-10,BEG,45
L000356,K0038,S027,2025-01-10,GRP,60
L000357,K0153,S024,2025-01-10,GRP,60
L000358,K0124,S006,2025-01-10,BER,45
L000359,K0112,S001,2025-01-10,GRP,90
L000360,K0050,S013,2025-01-10,SCH,90
L000361,K0103,S022,2025-01-10,DOK,60
L000362,K0106,S024,2025-01-10,BEG,60
L000363,K0112,S020,2025-01-10,AST,120
L000364,K0073,S022,2025-01-10,AST,60
L000365,K0032,S029,2025-01-10,GRP,60
L000366,K0115,S024,2025-01-10,AST,60
L000367,K0134,S031,2025-01-10,GRP,180
L000368,K0038,S005,2025-01-10,SCH,45
L000369,K0102,S029,2025-01-10,GRP,180
L000370,K0144,S007,2025-01-10,AST,60
L000371,K0140,S025,2025-01-10,SCH,45
L000372,K0107,S022,2025-01-10,GRP,60
L000373,K0138,S007,2025-01-10,DOK,180
L000374,K0178,S020,2025-01-10,SCH,60
L000375,K0065,S007,2025-01-10,GRP,90
L000376,K0001,S003,2025-01-10,DOK,90
L000377,K0137,S023,2025-01-10,SCH,30
L000378,K0049,S007,2025-01-10,GRP,30
L000379,K0107,S020,2025-01-10,SCH,60
L000380,K0148,S011,2025-01-10,FAL,30
L000381,K0101,S018,2025-01-10,AST,180
L000382,K0090,S025,2025-01-10,AST,45
L000383,K0025,S001,2025-01-10,DOK,180
L000384,K0115,S001,2025-01-10,SCH,120
L000385,K0159,S010,2025-01-13,DOK,45
L000386,K0054,S001,2025-01-13,GRP,120
L000387,K0138,S031,2025-01-13,BEG,60
L000388,K0171,S029,2025-01-13,AST,30
L000389,K0005,S020,2025-01-13,SCH,45
L000390,K0096,S020,2025-01-13,DOK,180
L000391,K0045,S012,2025-01-13,GRP,180
L000392,K0148,S004,2025-01-13,AST,180
L000393,K0165,S012,2025-01-13,SCH,60
L000394,K0124,S011,2025-01-13,GRP,45
L000395,K0171,S008,2025-01-13,GRP,60
L000396,K0014,S008,2025-01-13,AST,180
L000397,K0025,S008,2025-01-13,SCH,60
L000398,K0031,S017,2025-01-13,BEG,120
L000399,K0103,S011,2025-01-13,SCH,60
L000400,K0076,S014,2025-01-13,AST,180
L000401,K0142,S006,2025-01-13,DOK,60
L000402,K0046,S015,2025-01-13,AST,60
L000403,K0152,S024,2025-01-13,BEG,45
L000404,K0047,S013,2025-01-13,AST,45
L000405,K0146,S017,2025-01-13,SCH,120
L000406,K0117,S022,2025-01-13,DOK,60
L000407,K0067,S006,2025-01-13,GRP,120
L000408,K0079,S024,2025-01-13,AST,30
L000409,K0120,S014,2025-01-13,BER,60
L000410,K0130,S008,2025-01-13,DOK,120
L000411,K0099,S004,2025-01-13,BEG,180
L000412,K0103,S031,2025-01-13,SCH,60
L000413,K0079,S025,2025-01-13,BER,90
L000414,K0127,S022,2025-01-13,AST,60
L000415,K0178,S007,2025-01-13,SCH,180
L000416,K0147,S029,2025-01-13,SCH,45
L000417,K0162,S008,2025-01-13,DOK,45
L000418,K0164,S013,2025-01-13,AST,30
L000419,K0117,S022,2025-01-13,DOK,45
L000420,K0027,S032,2025-01-13,DOK,45
L000421,K0060,S013,2025-01-13,AST,60
L000422,K0098,S015,2025-01-13,SCH,180
L000423,K0132,S017,2025-01-13,SCH,45
L000424,K0008,S031,2025-01-13,BEG,90
L000425,K0106,S008,2025-01-13,SCH,60
L000426,K0027,S022,2025-01-13,AST,90
L000427,K0111,S027,2025-01-13,SCH,30
L000428,K0004,S008,2025-01-13,BER,45
L000429,K0017,S020,2025-01-13,BEG,60
L000430,K0005,S029,2025-01-13,BEG,45
L000431,K0047,S014,2025-01-13,AST,60
L000432,K0052,S002,2025-01-13,AST,30
L000433,K0005,S028,2025-01-13,AST,60
L000434,K0087,S017,2025-01-13,SCH,120
L000435,K0148,S025,2025-01-13,SCH,30
L000436,K0073,S010,2025-01-13,AST,180
L000437,K0053,S018,2025-01-13,GRP,30
L000438,K0172,S018,2025-01-13,BER,30
L000439,K0096,S031,2025-01-14,BER,120
L000440,K0016,S024,2025-01-14,GRP,90
L000441,K0148,S007,2025-01-14,SCH,90
L000442,K0031,S031,2025-01-14,FAL,60
L000443,K0120,S003,2025-01-14,SCH,180
L000444,K0157,S001,2025-01-14,AST,30
L000445,K0124,S014,2025-01-14,SCH,45
L000446,K0100,S029,2025-01-14,GRP,120
L000447,K0121,S027,2025-01-14,AST,90
L000448,K0172,S015,2025-01-14,BEG,120
L000449,K0034,S025,2025-01-14,DOK,45
L000450,K0032,S027,2025-01-14,DOK,60
L000451,K0032,S014,2025-01-14,DOK,180
L000452,K0147,S015,2025-01-14,AST,180
L000453,K0172,S017,2025-01-14,GRP,30
L000454,K0037,S017,2025-01-14,SCH,180
L000455,K0003,S007,2025-01-14,FAL,90
L000456,K0042,S015,2025-01-14,GRP,30
L000457,K0052,S008,2025-01-14,AST,90
L000458,K0110,S029,2025-01-14,SCH,30
L000459,K0019,S005,2025-01-14,AST,30
L000460,K0142,S018,2025-01-14,DOK,90
L000461,K0152,S022,2025-01-14,AST,60
L000462,K0069,S031,2025-01-14,DOK,45
L000463,K0127,S006,2025-01-14,BER,45
L000464,K0178,S001,2025-01-14,AST,45
L000465,K0152,S014,2025-01-14,GRP,30
L000466,K0024,S018,2025-01-14,BER,180
L000467,K0160,S010,2025-01-14,GRP,60
L000468,K0140,S029,2025-01-14,SCH,60
L000469,K0142,S034,2025-01-14,BEG,30
L000470,K0164,S025,2025-01-14,SCH,90
L000471,K0150,S010,2025-01-14,SCH,60
L000472,K0155,S023,2025-01-14,BEG,60
L000473,K0055,S018,2025-01-14,SCH,30
L000474,K0098,S005,2025-01-14,DOK,30
L000475,K0053,S022,2025-01-14,SCH,90
L000476,K0107,S001,2025-01-14,GRP,120
L000477,K0012,S031,2025-01-14,AST,45
L000478,K0076,S023,2025-01-14,BER,90
L000479,K0117,S025,2025-01-14,DOK,90
L000480,K0116,S022,2025-01-14,GRP,30
L000481,K0046,S008,2025-01-14,BEG,180
L000482,K0079,S022,2025-01-15,AST,30
L000483,K0105,S006,2025-01-15,AST,60
L000484,K0004,S022,2025-01-15,SCH,45
L000485,K0011,S010,2025-01-15,GRP,60
L000486,K0045,S017,2025-01-15,BER,120
L000487,K0093,S029,2025-01-15,BER,120
L000488,K0153,S024,2025-01-15,AST,180
L000489,K0030,S028,2025-01-15,GRP,60
L000490,K0100,S011,2025-01-15,DOK,30
L000491,K0115,S025,2025-01-15,FAL,60
L000492,K0172,S013,2025-01-15,AST,120
L000493,K0030,S018,2025-01-15,SCH,90
L000494,K0114,S023,2025-01-15,AST,30
L000495,K0042,S010,2025-01-15,BEG,90
L000496,K0173,S028,2025-01-15,DOK,180
L000497,K0025,S005,2025-01-15,AST,120
L000498,K0162,S018,2025-01-15,AST,180
L000499,K0102,S015,2025-01-15,GRP,120
L000500,K0018,S028,2025-01-15,SCH,45
L000501,K0121,S031,2025-01-15,AST,120
L000502,K0130,S012,2025-01-15,GRP,120
L000503,K0115,S017,2025-01-15,BER,30
L000504,K0016,S024,2025-01-15,SCH,30
L000505,K0018,S008,2025-01-15,BER,120
L000506,K0045,S006,2025-01-15,DOK,180
L000507,K0130,S002,2025-01-15,SCH,45
L000508,K0120,S004,2025-01-15,DOK,30
L000509,K0111,S027,2025-01-15,AST,180
L000510,K0060,S034,2025-01-15,SCH,30
L000511,K0043,S014,2025-01-15,BEG,60
L000512,K0032,S003,2025-01-15,AST,90
L000513,K0083,S028,2025-01-15,DOK,180
L000514,K0132,S023,2025-01-15,GRP,45
L000515,K0153,S002,2025-01-15,AST,60
L000516,K0021,S003,2025-01-15,DOK,120
L000517,K0152,S034,2025-01-15,DOK,60
L000518,K0111,S034,2025-01-15,BER,180
L000519,K0007,S012,2025-01-15,GRP,120
L000520,K0142,S028,2025-01-15,BEG,30
L000521,K0153,S029,2025-01-15,AST,60
L000522,K0073,S003,2025-01-15,GRP,180
L000523,K0105,S007,2025-01-15,DOK,45
L000524,K0130,S024,2025-01-15,GRP,60
L000525,K0172,S022,2025-01-15,FAL,60
L000526,K0070,S008,2025-01-15,BER,60
L000527,K0146,S022,2025-01-15,SCH,60
L000528,K0179,S024,2025-01-15,DOK,60
L000529,K0013,S015,2025-01-15,BEG,60
L000530,K0152,S001,2025-01-15,AST,45
L000531,K0045,S013,2025-01-16,DOK,90
L000532,K0047,S020,2025-01-16,BER,60
L000533,K0162,S004,2025-01-16,DOK,45
L000534,K0092,S015,2025-01-16,SCH,180
L000535,K0028,S006,2025-01-16,SCH,180
L000536,K0145,S004,2025-01-16,SCH,120
L000537,K0096,S013,2025-01-16,AST,90
L000538,K0151,S025,2025-01-16,SCH,180
L000539,K0085,S005,2025-01-16,BEG,120
L000540,K0128,S002,2025-01-16,AST,90
L000541,K0100,S025,2025-01-16,SCH,45
L000542,K0019,S020,2025-01-16,SCH,90
L000543,K0144,S028,2025-01-16,DOK,90
L000544,K0070,S006,2025-01-16,AST,180
L000545,K0053,S014,2025-01-16,AST,60
L000546,K0055,S020,2025-01-16,GRP,30
L000547,K0137,S008,2025-01-16,BEG,180
L000548,K0085,S002,2025-01-16,AST,60
L000549,K0013,S032,2025-01-16,AST,90
L000550,K0027,S028,2025-01-16,GRP,180
L000551,K0102,S034,2025-01-16,AST,30
L000552,K0034,S013,2025-01-16,SCH,60
L000553,K0014,S025,2025-01-16,AST,60
L000554,K0025,S022,2025-01-16,GRP,90
L000555,K0099,S018,2025-01-16,BEG,60
L000556,K0027,S022,2025-01-16,DOK,180
L000557,K0115,S008,2025-01-16,AST,180
L000558,K0153,S018,2025-01-16,SCH,30
L000559,K0162,S032,2025-01-16,AST,120
L000560,K0172,S032,2025-01-16,DOK,90
L000561,K0073,S004,2025-01-16,DOK,45
L000562,K0145,S032,2025-01-16,AST,30
L000563,K0112,S004,2025-01-16,AST,45
L000564,K0140,S010,2025-01-16,AST,60
L000565,K0010,S028,2025-01-16,BEG,60
L000566,K0124,S007,2025-01-16,BER,60
L000567,K0128,S013,2025-01-16,AST,60
L000568,K0076,S006,2025-01-16,SCH,180
L000569,K0164,S017,2025-01-16,GRP,60
L000570,K0019,S003,2025-01-16,SCH,45
L000571,K0038,S025,2025-01-16,BEG,30
L000572,K0157,S003,2025-01-16,DOK,120
L000573,K0121,S012,2025-01-16,BEG,120
L000574,K0138,S008,2025-01-16,AST,180
L000575,K0090,S005,2025-01-16,SCH,180
L000576,K0116,S028,2025-01-17,BEG,45
L000577,K0105,S012,2025-01-17,BEG,60
L000578,K0060,S005,2025-01-17,GRP,60
L000579,K0149,S007,2025-01-17,AST,60
L000580,K0099,S001,2025-01-17,AST,60
L000581,K0027,S023,2025-01-17,GRP,90
L000582,K0127,S024,2025-01-17,BEG,30
L000583,K0009,S027,2025-01-17,BEG,30
L000584,K0071,S004,2025-01-17,SCH,60
L000585,K0176,S008,2025-01-17,AST,60
L000586,K0114,S031,2025-01-17,SCH,60
L000587,K0028,S012,2025-01-17,GRP,90
L000588,K0011,S007,2025-01-17,GRP,120
L000589,K0037,S008,2025-01-17,AST,45
