order_id,date,product,city,quantity,unit_price
1036,27.02.2024,Maus,BERLIN,1,25.00
1199,12.06.2024,tastatur,Berlin,2,49.00
1004,2024-08-23, Tastatur ,BERLIN,5,"49,00"
1167,20/02/2024,Notbook,Muenchen,3,899.00 €
1218,2024-01-26,Moniter,hamburg,5,"199,00"
1119,2024-09-07,MAUS,berlin,5,25.00
1107,2024/08/24,Monitor ,Hamburg ,3,199.00
1083,2024/01/17,Maus,Muenchen,-1,"25,00"
1195,15/01/2024,tastatur, Berlin,1,"49,00"
1022,2024-02-01,notebook,berlin,4,899.00
1081,2024-10-28,maus,Muenchen,4,"25,00"
1052,2024/01/26,monitor,Koeln,5,"199,00"
1176,09/05/2024,Maus,koln,1,25.00
1134,25/02/2024,maus,hamburg,3,25.00
1092,2024/09/22,Notebook,Hamburg,3,899.00
1013,20/08/2024,maus,Hamburg ,1,25.00
1149,2024-08-28,MAUS,Berlin,4,25.00
1200,15.07.2024, Notebook,munchen,5,899.00
1072,2024/10/11,Mouse,Köln,2,25.00
1049,2024-04-30,Tastatur,berlin,3,"49,00"
1020,2024/05/22,notebook,,4,"899,00 €"
1111,22.04.2024,Monitor,München,2,199.00
1035,02/01/2024,tastatur, Berlin,3,49.00
1070,15.01.2024,MAUS,munchen,4,25.00
1120,30/04/2024,Maus,Koeln,3,"25,00"
1029,02/12/2024,notebook,koln,5,899.00
1165,18.08.2024,Moniter,munchen,5,"199,00"
1069,2024/06/14,maus,MÜNCHEN,2,25.00 €
1213,05.12.2024,Moniter,munchen,4,199.00
1126,14/09/2024,Notbook,,2,899.00 €
1216,2024-06-25,MAUS,Koeln,2,"25,00"
1034,2024-04-14,Monitor,MÜNCHEN,3,199.00
1064,2024-08-26,notebook,hamburg,3,899.00
1170,01.11.2024,notebook,Koeln,5,"899,00"
1159,2024-02-21, Notebook,,5,899.00
1128,03/02/2024,Tastaur,Hamburg ,2,"49,00"
1082,2024-03-21,Tastaur, Berlin,2,"49,00 €"
1162,2024/04/09,Tastaur,Koeln,3,49.00
1142,2024-09-13,Mouse,Hamburg ,5,25.00
1150,2024-08-19,Tastatur,koln,1,"49,00"
1076,03.07.2024, Tastatur ,Hamburg,2,"49,00"
1032,05/02/2024,Monitor,munchen,2,"199,00"
1163,23/03/2024,Maus,koln,2,25.00 €
1088,28.08.2024,NOTEBOOK,hamburg,5,899.00
1141,2024/05/10,monitor,Hamburg,3,"199,00 €"
1133,27.01.2024,tastatur,koln,3,49.00
1192,2024-08-09,monitor,hamburg,5,199.00 €
1047,04/06/2024,Mouse, Berlin,3,"25,00"
1184,09/07/2024,Mouse,munchen,4,25.00
1009,14/03/2024,Mouse,koln,3,"25,00"
1182,2024/09/19,Maus,Muenchen,2,25.00 €
1014,23.11.2024,NOTEBOOK,München,5,899.00
1094,2024-10-09,Moniter,München,1,199.00 €
1016,13.02.2024,monitor, Berlin,4,199.00
1174,2024/11/25,tastatur,Muenchen,2,49.00
1085,06/06/2024,Notbook,Hamburg,5,899.00
1033,15.05.2024, Notebook,hamburg,1,899.00
1157,09/12/2024,Tastatur,hamburg,5,"49,00"
1219,14.12.2024,Mouse, Berlin,2,"25,00"
1078,2024/08/13,Maus,Köln,3,"25,00 €"
1091,2024-02-29,Tastaur,MÜNCHEN,4,49.00
1131,2024-07-10,Tastatur,München,2,49.00
1124,08/03/2024,Notebook,berlin,1,"899,00"
1067,2024/02/05,Mouse,München,5,25.00 €
1011,2024/11/01,Monitor ,koln,1,"199,00"
1217,19/04/2024,tastatur,Köln,2,49.00
1109,15/07/2024, Tastatur ,Hamburg ,4,"49,00"
1108,2024/08/14,Monitor , Berlin,3,
1100,2024-01-19,Moniter,Köln,2,199.00
1135,15/01/2024, Notebook,München,2,"899,00"
1212,2024/08/02,Maus,Muenchen,2,25.00
1018,21/09/2024,Tastatur,koln,4,"49,00"
1147,22.02.2024,Monitor,Hamburg,2,"199,00"
1185,2024/02/28,Tastatur,hamburg,1,49.00
1038,30.06.2024,monitor,berlin,5,199.00
1068,21/11/2024,Mouse,MÜNCHEN,4,25.00
1002,28.10.2024,Moniter,Koeln,3,199.00 €
1031,14.11.2024,NOTEBOOK,Koeln,5,899.00 €
1209,2024/01/09, Tastatur ,koln,3,"49,00 €"
1179,08/08/2024,MAUS,Berlin,5,25.00
1105,2024/07/02,NOTEBOOK,Muenchen,3,899.00
1164,2024-10-10,MAUS,München,1,25.00
1110,2024-12-03,Tastaur,BERLIN,4,"49,00"
1132,09/07/2024,Maus, Berlin,2,25.00
1000,2024-05-20,NOTEBOOK, Berlin,2,"899,00"
1058,2024/06/01,NOTEBOOK,Muenchen,4,899.00
1005,24.01.2024,Monitor, Berlin,2,199.00
1180,2024/12/04,notebook,MÜNCHEN,0,"899,00"
1103,12/11/2024,maus,Berlin,1,"25,00"
1129,2024-09-15,tastatur,Koeln,5,49.00
1091,2024-02-29,Tastaur,MÜNCHEN,4,49.00
1041,2024-01-13,Monitor ,hamburg,2,"199,00"
1106,10.02.2024,Moniter,Hamburg ,5,199.00
1137,02/08/2024,Monitor,Köln,4,"199,00"
1121,2024-03-03,Tastatur,hamburg,4,"49,00"
1146,27.03.2024,Monitor ,munchen,1,199.00 €
1125,2024/03/05,Tastaur,BERLIN,4,49.00
1086,2024/12/24,Mouse,München,4,25.00
1030,2024/05/15, Tastatur ,Hamburg,4,"49,00"
1175,2024-01-19, Notebook,Koeln,3,"899,00"
1065,2024/06/08,notebook,Berlin,5,899.00
1203,01/10/2024,MAUS,MÜNCHEN,1,25.00
1205,2024/11/15,MAUS,munchen,5,"25,00"
1044,01.01.2024, Notebook,Koeln,5,899.00
1027,09.06.2024,Notebook,Berlin,1,"899,00"
1080,12.10.2024,Moniter, Berlin,4,199.00
1181,2024-01-22,Tastatur,koln,3,49.00
1113,12/04/2024,MAUS,Hamburg,2,25.00
1143,2024/01/10,NOTEBOOK,Koeln,99,899.00
1204,24/07/2024,Tastatur, Berlin,1,49.00
1007,24.03.2024,Monitor ,Hamburg,4,"199,00"
1208,20/07/2024,Tastaur,Hamburg ,5,49.00
1158,19.04.2024,tastatur,Hamburg,3,49.00
1112,18/01/2024, Tastatur ,koln,5,"49,00 €"
1155,25.05.2024, Notebook,Köln,3,899.00
1190,2024/02/03,Moniter, Berlin,3,"199,00"
1008,10/06/2024,monitor, Berlin,4,"199,00"
1073,23/04/2024,Notbook,munchen,4,
1144,2024/02/28,MAUS,München,4,"25,00"
1118,2024/04/30,NOTEBOOK,berlin,5,"899,00"
1189,12/03/2024,Notbook,Hamburg ,2,899.00 €
1206,2024-04-11,Tastatur,Hamburg,5,49.00
1099,2024/04/29,Moniter,koln,4,"199,00"
