source,year,month,monthname,category,artikel,med_headline_woerter,avg_headline_woerter,med_beschreibung_woerter
ABC News (AU),2004,7,07-Jul,Welt,268,6.0,6.52,
ABC News (AU),2004,7,07-Jul,Wirtschaft,266,6.0,6.22,
ABC News (AU),2004,8,08-Aug,Gesellschaft,125,6.0,6.26,
ABC News (AU),2004,8,08-Aug,Gesundheit,210,6.0,6.2,
ABC News (AU),2004,8,08-Aug,Kriminalität,556,6.0,6.3,
ABC News (AU),2004,8,08-Aug,Politik,321,6.0,6.15,
ABC News (AU),2004,8,08-Aug,Sonstiges,4428,6.0,6.01,
ABC News (AU),2004,8,08-Aug,Sport,168,6.0,6.33,
ABC News (AU),2004,8,08-Aug,Umwelt,161,6.0,6.12,
ABC News (AU),2004,8,08-Aug,Welt,231,7.0,6.57,
ABC News (AU),2004,8,08-Aug,Wirtschaft,247,6.0,6.37,
ABC News (AU),2004,9,09-Sep,Gesellschaft,133,6.0,6.17,
ABC News (AU),2004,9,09-Sep,Gesundheit,192,6.0,6.32,
ABC News (AU),2004,9,09-Sep,Kriminalität,535,6.0,6.34,
ABC News (AU),2004,9,09-Sep,Politik,388,6.0,6.29,
ABC News (AU),2004,9,09-Sep,Sonstiges,3901,6.0,6.08,
ABC News (AU),2004,9,09-Sep,Sport,109,6.0,6.28,
ABC News (AU),2004,9,09-Sep,Umwelt,126,6.0,6.2,
ABC News (AU),2004,9,09-Sep,Welt,232,7.0,6.57,
ABC News (AU),2004,9,09-Sep,Wirtschaft,227,6.0,6.31,
ABC News (AU),2004,10,10-Oct,Gesellschaft,103,6.0,6.36,
ABC News (AU),2004,10,10-Oct,Gesundheit,171,6.0,6.29,
ABC News (AU),2004,10,10-Oct,Kriminalität,501,6.0,6.46,
ABC News (AU),2004,10,10-Oct,Politik,418,6.0,6.28,
ABC News (AU),2004,10,10-Oct,Sonstiges,4133,6.0,6.11,
ABC News (AU),2004,10,10-Oct,Sport,86,6.0,6.37,
ABC News (AU),2004,10,10-Oct,Umwelt,172,6.0,6.13,
ABC News (AU),2004,10,10-Oct,Welt,263,6.0,6.5,
ABC News (AU),2004,10,10-Oct,Wirtschaft,205,6.0,6.2,
ABC News (AU),2004,11,11-Nov,Gesellschaft,141,6.0,6.26,
ABC News (AU),2004,11,11-Nov,Gesundheit,193,6.0,6.27,
ABC News (AU),2004,11,11-Nov,Kriminalität,547,6.0,6.28,
ABC News (AU),2004,11,11-Nov,Politik,319,6.0,6.26,
ABC News (AU),2004,11,11-Nov,Sonstiges,4347,6.0,6.15,
ABC News (AU),2004,11,11-Nov,Sport,80,6.0,6.46,
ABC News (AU),2004,11,11-Nov,Umwelt,149,6.0,6.06,
ABC News (AU),2004,11,11-Nov,Welt,220,6.0,6.53,
ABC News (AU),2004,11,11-Nov,Wirtschaft,224,6.0,6.44,
ABC News (AU),2004,12,12-Dec,Gesellschaft,138,6.0,6.4,
ABC News (AU),2004,12,12-Dec,Gesundheit,149,6.0,6.34,
ABC News (AU),2004,12,12-Dec,Kriminalität,580,6.0,6.36,
ABC News (AU),2004,12,12-Dec,Politik,275,6.0,6.42,
ABC News (AU),2004,12,12-Dec,Sonstiges,3993,6.0,6.21,
ABC News (AU),2004,12,12-Dec,Sport,75,6.0,6.32,
ABC News (AU),2004,12,12-Dec,Umwelt,163,6.0,6.13,
ABC News (AU),2004,12,12-Dec,Welt,194,7.0,6.61,
ABC News (AU),2004,12,12-Dec,Wirtschaft,206,6.0,6.32,
ABC News (AU),2005,1,01-Jan,Gesellschaft,113,6.0,6.17,
ABC News (AU),2005,1,01-Jan,Gesundheit,208,6.0,6.2,
ABC News (AU),2005,1,01-Jan,Kriminalität,552,6.0,6.32,
ABC News (AU),2005,1,01-Jan,Politik,239,6.0,6.37,
ABC News (AU),2005,1,01-Jan,Sonstiges,4319,6.0,6.11,
ABC News (AU),2005,1,01-Jan,Sport,67,7.0,6.42,
ABC News (AU),2005,1,01-Jan,Umwelt,173,6.0,6.25,
ABC News (AU),2005,1,01-Jan,Welt,232,6.0,6.54,
ABC News (AU),2005,1,01-Jan,Wirtschaft,193,6.0,6.32,
ABC News (AU),2005,2,02-Feb,Gesellschaft,115,6.0,6.44,
ABC News (AU),2005,2,02-Feb,Gesundheit,189,6.0,6.39,
ABC News (AU),2005,2,02-Feb,Kriminalität,545,6.0,6.43,
ABC News (AU),2005,2,02-Feb,Politik,279,6.0,6.26,
ABC News (AU),2005,2,02-Feb,Sonstiges,3927,6.0,6.25,
ABC News (AU),2005,2,02-Feb,Sport,92,6.5,6.58,
ABC News (AU),2005,2,02-Feb,Umwelt,170,6.0,6.36,
ABC News (AU),2005,2,02-Feb,Welt,206,7.0,6.86,
ABC News (AU),2005,2,02-Feb,Wirtschaft,218,6.0,6.38,
ABC News (AU),2005,3,03-Mar,Gesellschaft,136,6.0,6.15,
ABC News (AU),2005,3,03-Mar,Gesundheit,191,6.0,6.3,
ABC News (AU),2005,3,03-Mar,Kriminalität,685,7.0,6.5,
ABC News (AU),2005,3,03-Mar,Politik,280,6.0,6.44,
ABC News (AU),2005,3,03-Mar,Sonstiges,4229,6.0,6.17,
ABC News (AU),2005,3,03-Mar,Sport,101,7.0,6.59,
ABC News (AU),2005,3,03-Mar,Umwelt,121,6.0,6.28,
ABC News (AU),2005,3,03-Mar,Welt,201,7.0,6.66,
ABC News (AU),2005,3,03-Mar,Wirtschaft,259,6.0,6.47,
ABC News (AU),2005,4,04-Apr,Gesellschaft,130,6.0,6.21,
ABC News (AU),2005,4,04-Apr,Gesundheit,204,6.0,6.42,
ABC News (AU),2005,4,04-Apr,Kriminalität,546,7.0,6.47,
ABC News (AU),2005,4,04-Apr,Politik,280,6.0,6.38,
ABC News (AU),2005,4,04-Apr,Sonstiges,3969,6.0,6.24,
ABC News (AU),2005,4,04-Apr,Sport,53,6.0,6.51,
ABC News (AU),2005,4,04-Apr,Umwelt,155,6.0,6.33,
ABC News (AU),2005,4,04-Apr,Welt,215,7.0,6.6,
ABC News (AU),2005,4,04-Apr,Wirtschaft,249,6.0,6.4,
ABC News (AU),2005,5,05-May,Gesellschaft,164,6.0,6.38,
ABC News (AU),2005,5,05-May,Gesundheit,232,7.0,6.48,
ABC News (AU),2005,5,05-May,Kriminalität,596,6.0,6.51,
ABC News (AU),2005,5,05-May,Politik,280,6.0,6.4,
ABC News (AU),2005,5,05-May,Sonstiges,4199,6.0,6.27,
ABC News (AU),2005,5,05-May,Sport,78,7.0,6.71,
ABC News (AU),2005,5,05-May,Umwelt,218,6.0,6.22,
ABC News (AU),2005,5,05-May,Welt,176,7.0,6.57,
ABC News (AU),2005,5,05-May,Wirtschaft,372,6.0,6.31,
ABC News (AU),2005,6,06-Jun,Gesellschaft,203,6.0,6.41,
ABC News (AU),2005,6,06-Jun,Gesundheit,212,6.0,6.42,
ABC News (AU),2005,6,06-Jun,Kriminalität,510,7.0,6.56,
ABC News (AU),2005,6,06-Jun,Politik,326,7.0,6.44,
ABC News (AU),2005,6,06-Jun,Sonstiges,4200,6.0,6.27,
ABC News (AU),2005,6,06-Jun,Sport,92,7.0,6.54,
ABC News (AU),2005,6,06-Jun,Umwelt,188,6.0,6.23,
ABC News (AU),2005,6,06-Jun,Welt,222,6.0,6.49,
ABC News (AU),2005,6,06-Jun,Wirtschaft,265,7.0,6.55,
ABC News (AU),2005,7,07-Jul,Gesellschaft,168,6.0,6.27,
ABC News (AU),2005,7,07-Jul,Gesundheit,217,7.0,6.52,
ABC News (AU),2005,7,07-Jul,Kriminalität,568,7.0,6.49,
ABC News (AU),2005,7,07-Jul,Politik,288,6.5,6.53,
ABC News (AU),2005,7,07-Jul,Sonstiges,4192,6.0,6.26,
ABC News (AU),2005,7,07-Jul,Sport,87,7.0,6.63,
ABC News (AU),2005,7,07-Jul,Umwelt,195,6.0,6.45,
ABC News (AU),2005,7,07-Jul,Welt,217,7.0,6.6,
ABC News (AU),2005,7,07-Jul,Wirtschaft,221,7.0,6.51,
ABC News (AU),2005,8,08-Aug,Gesellschaft,164,6.0,6.36,
ABC News (AU),2005,8,08-Aug,Gesundheit,213,6.0,6.45,
ABC News (AU),2005,8,08-Aug,Kriminalität,559,6.0,6.4,
ABC News (AU),2005,8,08-Aug,Politik,319,6.0,6.48,
ABC News (AU),2005,8,08-Aug,Sonstiges,4370,6.0,6.21,
ABC News (AU),2005,8,08-Aug,Sport,67,6.0,6.45,
ABC News (AU),2005,8,08-Aug,Umwelt,173,6.0,6.24,
ABC News (AU),2005,8,08-Aug,Welt,217,7.0,6.54,
ABC News (AU),2005,8,08-Aug,Wirtschaft,289,7.0,6.51,
ABC News (AU),2005,9,09-Sep,Gesellschaft,139,6.0,6.45,
ABC News (AU),2005,9,09-Sep,Gesundheit,210,7.0,6.69,
ABC News (AU),2005,9,09-Sep,Kriminalität,542,7.0,6.56,
ABC News (AU),2005,9,09-Sep,Politik,339,7.0,6.63,
ABC News (AU),2005,9,09-Sep,Sonstiges,4145,6.0,6.29,
ABC News (AU),2005,9,09-Sep,Sport,109,7.0,6.54,
ABC News (AU),2005,9,09-Sep,Umwelt,169,6.0,6.28,
ABC News (AU),2005,9,09-Sep,Welt,227,7.0,6.57,
ABC News (AU),2005,9,09-Sep,Wirtschaft,267,7.0,6.63,
ABC News (AU),2005,10,10-Oct,Gesellschaft,148,6.0,6.35,
ABC News (AU),2005,10,10-Oct,Gesundheit,207,6.0,6.4,
ABC News (AU),2005,10,10-Oct,Kriminalität,508,7.0,6.56,
ABC News (AU),2005,10,10-Oct,Politik,308,6.0,6.5,
ABC News (AU),2005,10,10-Oct,Sonstiges,4196,6.0,6.18,
ABC News (AU),2005,10,10-Oct,Sport,73,7.0,6.62,
ABC News (AU),2005,10,10-Oct,Umwelt,169,6.0,6.38,
ABC News (AU),2005,10,10-Oct,Welt,216,7.0,6.68,
ABC News (AU),2005,10,10-Oct,Wirtschaft,269,6.0,6.45,
ABC News (AU),2005,11,11-Nov,Gesellschaft,143,6.0,6.34,
ABC News (AU),2005,11,11-Nov,Gesundheit,201,7.0,6.68,
ABC News (AU),2005,11,11-Nov,Kriminalität,599,6.0,6.47,
ABC News (AU),2005,11,11-Nov,Politik,306,7.0,6.59,
ABC News (AU),2005,11,11-Nov,Sonstiges,4255,6.0,6.2,
ABC News (AU),2005,11,11-Nov,Sport,82,6.0,6.71,
ABC News (AU),2005,11,11-Nov,Umwelt,158,6.0,6.23,
ABC News (AU),2005,11,11-Nov,Welt,188,7.0,6.69,
ABC News (AU),2005,11,11-Nov,Wirtschaft,244,7.0,6.49,
ABC News (AU),2005,12,12-Dec,Gesellschaft,144,6.0,6.22,
ABC News (AU),2005,12,12-Dec,Gesundheit,183,6.0,6.27,
ABC News (AU),2005,12,12-Dec,Kriminalität,538,6.0,6.39,
ABC News (AU),2005,12,12-Dec,Politik,236,6.0,6.25,
ABC News (AU),2005,12,12-Dec,Sonstiges,4029,6.0,6.06,
ABC News (AU),2005,12,12-Dec,Sport,69,7.0,6.7,
ABC News (AU),2005,12,12-Dec,Umwelt,164,6.0,6.16,
ABC News (AU),2005,12,12-Dec,Welt,187,6.0,6.23,
ABC News (AU),2005,12,12-Dec,Wirtschaft,259,6.0,6.27,
ABC News (AU),2006,1,01-Jan,Gesellschaft,97,6.0,6.27,
ABC News (AU),2006,1,01-Jan,Gesundheit,203,6.0,6.44,
ABC News (AU),2006,1,01-Jan,Kriminalität,580,6.0,6.35,
ABC News (AU),2006,1,01-Jan,Politik,239,6.0,6.28,
ABC News (AU),2006,1,01-Jan,Sonstiges,4194,6.0,6.05,
ABC News (AU),2006,1,01-Jan,Sport,85,7.0,6.49,
ABC News (AU),2006,1,01-Jan,Umwelt,240,6.0,6.13,
ABC News (AU),2006,1,01-Jan,Welt,202,6.0,6.46,
ABC News (AU),2006,1,01-Jan,Wirtschaft,218,6.0,6.27,
ABC News (AU),2006,2,02-Feb,Gesellschaft,96,6.0,6.35,
ABC News (AU),2006,2,02-Feb,Gesundheit,154,7.0,6.5,
ABC News (AU),2006,2,02-Feb,Kriminalität,590,7.0,6.61,
ABC News (AU),2006,2,02-Feb,Politik,325,6.0,6.46,
ABC News (AU),2006,2,02-Feb,Sonstiges,3733,6.0,6.26,
ABC News (AU),2006,2,02-Feb,Sport,105,7.0,6.5,
ABC News (AU),2006,2,02-Feb,Umwelt,147,6.0,6.27,
ABC News (AU),2006,2,02-Feb,Welt,175,7.0,6.65,
ABC News (AU),2006,2,02-Feb,Wirtschaft,243,6.0,6.55,
ABC News (AU),2006,3,03-Mar,Gesellschaft,161,6.0,6.37,
ABC News (AU),2006,3,03-Mar,Gesundheit,191,6.0,6.28,
ABC News (AU),2006,3,03-Mar,Kriminalität,569,6.0,6.43,
ABC News (AU),2006,3,03-Mar,Politik,381,6.0,6.25,
ABC News (AU),2006,3,03-Mar,Sonstiges,4491,6.0,6.08,
ABC News (AU),2006,3,03-Mar,Sport,79,6.0,6.44,
ABC News (AU),2006,3,03-Mar,Umwelt,231,6.0,6.0,
ABC News (AU),2006,3,03-Mar,Welt,184,6.0,6.52,
ABC News (AU),2006,3,03-Mar,Wirtschaft,243,6.0,6.3,
ABC News (AU),2006,4,04-Apr,Gesellschaft,175,6.0,6.34,
ABC News (AU),2006,4,04-Apr,Gesundheit,211,7.0,6.51,
ABC News (AU),2006,4,04-Apr,Kriminalität,518,6.0,6.41,
ABC News (AU),2006,4,04-Apr,Politik,319,6.0,6.3,
ABC News (AU),2006,4,04-Apr,Sonstiges,3997,6.0,6.04,
ABC News (AU),2006,4,04-Apr,Sport,70,7.0,6.66,
ABC News (AU),2006,4,04-Apr,Umwelt,196,6.0,6.12,
ABC News (AU),2006,4,04-Apr,Welt,180,7.0,6.63,
ABC News (AU),2006,4,04-Apr,Wirtschaft,211,6.0,6.52,
ABC News (AU),2006,5,05-May,Gesellschaft,194,6.0,6.25,
ABC News (AU),2006,5,05-May,Gesundheit,190,6.0,6.23,
ABC News (AU),2006,5,05-May,Kriminalität,520,7.0,6.47,
ABC News (AU),2006,5,05-May,Politik,331,6.0,6.29,
ABC News (AU),2006,5,05-May,Sonstiges,4499,6.0,6.08,
ABC News (AU),2006,5,05-May,Sport,87,7.0,6.75,
ABC News (AU),2006,5,05-May,Umwelt,157,6.0,6.22,
ABC News (AU),2006,5,05-May,Welt,198,6.0,6.45,
ABC News (AU),2006,5,05-May,Wirtschaft,367,6.0,6.24,
ABC News (AU),2006,6,06-Jun,Gesellschaft,180,6.0,6.28,
ABC News (AU),2006,6,06-Jun,Gesundheit,176,6.5,6.62,
ABC News (AU),2006,6,06-Jun,Kriminalität,515,6.0,6.46,
ABC News (AU),2006,6,06-Jun,Politik,354,6.0,6.24,
ABC News (AU),2006,6,06-Jun,Sonstiges,4205,6.0,6.1,
ABC News (AU),2006,6,06-Jun,Sport,111,7.0,6.77,
ABC News (AU),2006,6,06-Jun,Umwelt,163,6.0,6.26,
ABC News (AU),2006,6,06-Jun,Welt,180,6.0,6.52,
ABC News (AU),2006,6,06-Jun,Wirtschaft,289,6.0,6.45,
ABC News (AU),2006,7,07-Jul,Gesellschaft,115,6.0,6.36,
ABC News (AU),2006,7,07-Jul,Gesundheit,187,6.0,6.47,
ABC News (AU),2006,7,07-Jul,Kriminalität,524,6.0,6.44,
ABC News (AU),2006,7,07-Jul,Politik,322,6.0,6.41,
ABC News (AU),2006,7,07-Jul,Sonstiges,4363,6.0,6.05,
ABC News (AU),2006,7,07-Jul,Sport,104,6.0,6.4,
ABC News (AU),2006,7,07-Jul,Umwelt,195,6.0,6.23,
ABC News (AU),2006,7,07-Jul,Welt,293,6.0,6.24,
ABC News (AU),2006,7,07-Jul,Wirtschaft,250,6.0,6.4,
ABC News (AU),2006,8,08-Aug,Gesellschaft,146,7.0,6.48,
ABC News (AU),2006,8,08-Aug,Gesundheit,192,6.0,6.28,
ABC News (AU),2006,8,08-Aug,Kriminalität,599,6.0,6.5,
ABC News (AU),2006,8,08-Aug,Politik,331,7.0,6.37,
ABC News (AU),2006,8,08-Aug,Sonstiges,4436,6.0,6.1,
ABC News (AU),2006,8,08-Aug,Sport,82,6.0,6.29,
ABC News (AU),2006,8,08-Aug,Umwelt,191,6.0,6.32,
