source,category,keyword,haeufigkeit,rang
HuffPost (US),Politik,court,889,10
HuffPost (US),Bildung,college,288,1
HuffPost (US),Bildung,education,178,2
HuffPost (US),Bildung,school,165,3
HuffPost (US),Bildung,students,162,4
HuffPost (US),Bildung,student,115,5
HuffPost (US),Bildung,university,102,6
HuffPost (US),Bildung,schools,82,7
HuffPost (US),Bildung,campus,76,8
HuffPost (US),Bildung,sexual,72,9
HuffPost (US),Bildung,teachers,66,10
HuffPost (US),Kriminalität,police,475,1
HuffPost (US),Kriminalität,shooting,281,2
HuffPost (US),Kriminalität,cops,188,3
HuffPost (US),Kriminalität,killed,184,4
HuffPost (US),Kriminalität,dead,170,5
HuffPost (US),Kriminalität,year,170,6
HuffPost (US),Kriminalität,allegedly,165,7
HuffPost (US),Kriminalität,suspect,162,8
HuffPost (US),Kriminalität,accused,161,9
HuffPost (US),Kriminalität,old,159,10
HuffPost (US),Gesundheit,health,1180,1
HuffPost (US),Gesundheit,life,974,2
HuffPost (US),Gesundheit,study,967,3
HuffPost (US),Gesundheit,cancer,820,4
HuffPost (US),Gesundheit,sleep,819,5
HuffPost (US),Gesundheit,ways,732,6
HuffPost (US),Gesundheit,could,690,7
HuffPost (US),Gesundheit,day,615,8
HuffPost (US),Gesundheit,weight,583,9
HuffPost (US),Gesundheit,healthy,532,10
HuffPost (US),Wirtschaft,business,404,1
HuffPost (US),Wirtschaft,women,302,2
HuffPost (US),Wirtschaft,wall,240,3
HuffPost (US),Wirtschaft,most,213,4
HuffPost (US),Wirtschaft,tax,207,5
HuffPost (US),Wirtschaft,money,204,6
HuffPost (US),Wirtschaft,ceo,178,7
HuffPost (US),Wirtschaft,credit,170,8
HuffPost (US),Wirtschaft,ways,157,9
HuffPost (US),Wirtschaft,get,148,10
HuffPost (US),Style & Beauty,photos,4178,1
HuffPost (US),Style & Beauty,fashion,1193,2
HuffPost (US),Style & Beauty,style,987,3
HuffPost (US),Style & Beauty,week,774,4
HuffPost (US),Style & Beauty,video,655,5
HuffPost (US),Style & Beauty,dress,631,6
HuffPost (US),Style & Beauty,photo,620,7
HuffPost (US),Style & Beauty,beauty,615,8
HuffPost (US),Style & Beauty,best,582,9
HuffPost (US),Style & Beauty,look,576,10
HuffPost (US),Essen,recipes,945,1
HuffPost (US),Essen,photos,729,2
HuffPost (US),Essen,food,648,3
HuffPost (US),Essen,best,616,4
HuffPost (US),Essen,make,542,5
HuffPost (US),Essen,recipe,490,6
HuffPost (US),Essen,day,430,7
HuffPost (US),Essen,video,291,8
HuffPost (US),Essen,cooking,211,9
HuffPost (US),Essen,eat,210,10
HuffPost (US),Gesellschaft,gay,1422,1
HuffPost (US),Gesellschaft,women,1117,2
HuffPost (US),Gesellschaft,black,996,3
HuffPost (US),Gesellschaft,day,523,4
HuffPost (US),Gesellschaft,people,512,5
HuffPost (US),Gesellschaft,trump,476,6
HuffPost (US),Gesellschaft,video,443,7
HuffPost (US),Gesellschaft,lgbt,427,8
HuffPost (US),Gesellschaft,queer,413,9
HuffPost (US),Gesellschaft,woman,401,10
HuffPost (US),Wohnen,photos,1365,1
HuffPost (US),Wohnen,home,880,2
HuffPost (US),Wohnen,video,383,3
HuffPost (US),Wohnen,ideas,336,4
HuffPost (US),Wohnen,day,284,5
HuffPost (US),Wohnen,house,254,6
HuffPost (US),Wohnen,make,238,7
HuffPost (US),Wohnen,diy,237,8
HuffPost (US),Wohnen,craft,200,9
HuffPost (US),Wohnen,photo,171,10
HuffPost (US),Reisen,photos,1708,1
HuffPost (US),Reisen,travel,947,2
HuffPost (US),Reisen,best,604,3
HuffPost (US),Reisen,world,426,4
HuffPost (US),Reisen,most,359,5
HuffPost (US),Reisen,video,351,6
HuffPost (US),Reisen,hotel,324,7
HuffPost (US),Reisen,hotels,299,8
HuffPost (US),Reisen,world's,246,9
HuffPost (US),Reisen,top,232,10
HuffPost (US),Religion,pope,246,1
HuffPost (US),Religion,francis,141,2
HuffPost (US),Religion,meditation,133,3
HuffPost (US),Religion,daily,131,4
HuffPost (US),Religion,church,123,5
HuffPost (US),Religion,muslim,111,6
HuffPost (US),Religion,faith,89,7
HuffPost (US),Religion,religious,83,8
HuffPost (US),Religion,christian,72,9
HuffPost (US),Religion,religion,69,10
ABC News (AU),Umwelt,fire,13157,1
ABC News (AU),Umwelt,water,10672,2
ABC News (AU),Umwelt,drought,4197,3
ABC News (AU),Umwelt,flood,4113,4
ABC News (AU),Umwelt,study,3821,5
ABC News (AU),Umwelt,storm,3542,6
ABC News (AU),Umwelt,climate,3221,7
ABC News (AU),Umwelt,change,1981,8
ABC News (AU),Umwelt,under,1107,9
ABC News (AU),Umwelt,house,1075,10
ABC News (AU),Sport,win,8415,1
ABC News (AU),Sport,cup,8048,2
ABC News (AU),Sport,final,6198,3
ABC News (AU),Sport,afl,4425,4
ABC News (AU),Sport,world,3800,5
ABC News (AU),Sport,league,3696,6
ABC News (AU),Sport,team,3096,7
ABC News (AU),Sport,match,2234,8
ABC News (AU),Sport,cricket,2222,9
ABC News (AU),Sport,olympic,1966,10
ABC News (AU),Politik,govt,17092,1
ABC News (AU),Politik,council,16966,2
ABC News (AU),Politik,government,10003,3
ABC News (AU),Politik,election,9255,4
ABC News (AU),Politik,minister,8096,5
ABC News (AU),Politik,labor,7274,6
ABC News (AU),Politik,trump,5303,7
ABC News (AU),Politik,president,3521,8
ABC News (AU),Politik,vote,3482,9
ABC News (AU),Politik,parliament,3292,10
ABC News (AU),Welt,china,6629,1
ABC News (AU),Welt,world,5048,2
ABC News (AU),Welt,iraq,4769,3
ABC News (AU),Welt,war,3783,4
ABC News (AU),Welt,iran,1886,5
ABC News (AU),Welt,russia,1626,6
ABC News (AU),Welt,global,1461,7
ABC News (AU),Welt,syria,1336,8
ABC News (AU),Welt,afghanistan,1304,9
ABC News (AU),Welt,australia,732,10
ABC News (AU),Wirtschaft,market,7334,1
ABC News (AU),Wirtschaft,business,5817,2
ABC News (AU),Wirtschaft,budget,5549,3
ABC News (AU),Wirtschaft,jobs,4461,4
ABC News (AU),Wirtschaft,tax,4378,5
ABC News (AU),Wirtschaft,price,4006,6
ABC News (AU),Wirtschaft,trade,3374,7
ABC News (AU),Wirtschaft,bank,2991,8
ABC News (AU),Wirtschaft,dollar,2289,9
ABC News (AU),Wirtschaft,money,2140,10
ABC News (AU),Entertainment,show,3376,1
ABC News (AU),Entertainment,star,1858,2
ABC News (AU),Entertainment,film,1600,3
ABC News (AU),Entertainment,music,1372,4
ABC News (AU),Entertainment,festival,462,5
ABC News (AU),Entertainment,actor,403,6
ABC News (AU),Entertainment,movie,391,7
ABC News (AU),Entertainment,dies,267,8
ABC News (AU),Entertainment,wins,193,9
ABC News (AU),Entertainment,royal,190,10
ABC News (AU),Kriminalität,police,38327,1
ABC News (AU),Kriminalität,court,17197,2
ABC News (AU),Kriminalität,charged,10951,3
ABC News (AU),Kriminalität,murder,10409,4
ABC News (AU),Kriminalität,killed,8656,5
ABC News (AU),Kriminalität,accused,7903,6
ABC News (AU),Kriminalität,trial,6925,7
ABC News (AU),Kriminalität,assault,4781,8
ABC News (AU),Kriminalität,jail,4656,9
ABC News (AU),Kriminalität,woman,2977,10
ABC News (AU),Gesundheit,health,9823,1
ABC News (AU),Gesundheit,hospital,8398,2
ABC News (AU),Gesundheit,covid,4192,3
ABC News (AU),Gesundheit,cancer,2962,4
ABC News (AU),Gesundheit,mental,2366,5
ABC News (AU),Gesundheit,disease,1599,6
ABC News (AU),Gesundheit,vaccine,1547,7
ABC News (AU),Gesundheit,coronavirus,1330,8
ABC News (AU),Gesundheit,virus,1038,9
ABC News (AU),Gesundheit,service,731,10
